Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
ASA,114,0.008283587491396936,-193.9833,-100.1445,-0.7828,,,10.7055,,,7.0548,998.8973,,,20.7668,,,77.5517,2.1972,0.7828,0.0514
NREF,124,0.008283165747923971,-58.2109,-2129.6222,-0.7347,,,11.6937,,,16.9366,,,,6.807,,,98.5227,2.0794,0.7347,-0.0298
AGNCM,124,0.008279731551072691,-228.3029,-451.1161,-0.501,,,3.0978,,,-69.0222,287.6494,,,7.0723,,,70.9558,2.1972,0.501,-0.0074
AGNCP,124,0.008279372995646198,-229.3601,-449.4977,-0.4766,,,3.0835,,,-69.165,287.6494,,,7.0723,,,70.9558,2.1972,0.4766,-0.004
TMCWW,82,0.008276682912856445,999999.0,-116.5036,-1.1864,,-17.616,-14.4582,,-245.3387,-244.5815,,999999.0,999999.0,999999.0,,,,0.0,1.1864,0.594
DX,124,0.008271227527304189,-90.2721,-754.3764,-0.7015,,,8.5184,,,-14.816,462.2491,,,7.6897,,,60.5857,2.1972,0.7015,0.0289
CRML,82,0.008268658030954501,999999.0,-111.389,-0.6403,,-0.5629,-17.9851,,-106.6919,-279.8506,,999999.0,999999.0,999999.0,,,,0.0,0.6403,0.8432
AVR,67,0.008110836684799023,-836.7795,-92.037,,,,,,,,,999999.0,999999.0,,,,,,,0.0477
LUNR,66,0.008072269890530632,-28789.4161,-104.798,-0.8414,0.1431,-2.7064,-24.5836,-169.4012,-208.4653,-345.8362,186.6086,999999.0,999999.0,-7077.4802,1.2145,,,2.1972,0.8414,0.1462
PLSE,79,0.007944891291057897,-1089.9468,-91.7518,-0.948,,-4.9614,-3.4241,,-126.5204,-134.2414,,999999.0,999999.0,-37.3213,,,,0.0,0.948,0.0137
REAX,123,0.007672611809079497,-2564.0766,-97.7603,-0.7827,14.4995,-2.0188,-2.5677,15.359,-111.5243,-125.6772,83.5049,999999.0,999999.0,-65.8383,9.073,,,2.3026,0.7827,-0.0074
XOMA,19,0.007597710994164058,-576.8936,-102.4706,-0.7177,,-1.8677,-3.2974,,-118.1362,-132.9735,114.7961,,-7.639,-19.0222,,,,2.0794,0.7177,-0.0468
XOMAP,19,0.007593884443628869,-379.9415,-103.7513,-0.4573,,-2.7967,-5.0066,,-127.5375,-150.0662,114.7961,,-7.639,-19.0222,,,,2.0794,0.4573,0.0045
VANI,16,0.007523205334547927,-514.6455,-101.8449,-0.6368,,-34.1422,-20.7315,,-297.579,-307.3154,,999999.0,999999.0,-106.6939,,,,0.0,0.6368,-0.0915
BKKT,55,0.00747540703948797,-454.9633,-107.8777,-2.2977,31.5415,-30.3424,-28.8929,146.9572,-330.6457,-388.9291,347.3861,365.5394,-281.3141,-131.4521,2.4931,,,2.3026,2.2977,-0.1677
AMBC,118,0.007307424079157479,-34.2329,-1776.8885,-0.8933,,,-11.6981,,,-216.9815,89.0634,,,-4.0046,,,,2.1972,0.8933,-0.0864
NBN,73,0.007156866830534171,-161.7674,-573.3381,-0.7808,,,12.576,,,25.7599,35.1032,,,20.3438,,,49.2269,2.1972,0.7808,0.0086
