Ticker,Industry,Score,PB,NCAV,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BAB_1,BIG,Beta,Performance
REAX,123,0.009070624450286795,-971.249,-96.5316,16.0367,-9.9111,-7.4725,25.8926,-164.0742,-174.7248,213.7351,868.9149,-429.6111,-72.5764,8.3692,,,,2.1972,,0.5785
NB,82,0.009070399785227763,999999.0,-112.4397,,-17.9196,-16.372,,-256.0126,-263.7205,,999999.0,999999.0,999999.0,,,,,0.0,,-0.2091
TMCWW,82,0.009070399785227763,-76.4984,-111.5588,999999.0,999999.0,-430.5727,,-4339.473,-4405.7268,,999999.0,999999.0,-329.381,,,,,0.0,,0.6471
AIRJ,66,0.009069815783724882,-10538.1162,-99.0462,,-0.5185,-0.4108,,-103.1499,-104.1081,,999999.0,999999.0,-43.2919,,,,,0.0,,0.0146
SRRK,14,0.008974866740504545,-158.849,-41.2759,,-90.9358,-26.0297,,-295.7864,-360.2967,76.4084,999999.0,999999.0,-41.3479,,,,-0.8303,2.0794,0.8303,-0.0575
MNDY,33,0.008537151942123972,-1002.5275,-91.667,7.6324,-2.5641,-1.5198,-33.8785,-104.8459,-115.1981,68.4339,999999.0,999999.0,-15.2365,87.1822,,,,2.1972,,0.1994
DX,124,0.008396584000227093,-50.9781,-688.4705,,,24.9257,,,149.2572,38.6199,,,12.7067,,,64.7052,-0.8744,2.1972,0.8744,0.0738
CRWD,33,0.00834829245491491,-2175.7436,-99.3109,5.3908,-0.6249,-0.3952,-53.4631,-98.7032,-103.9523,54.3983,999999.0,999999.0,-8.5991,73.1741,,,-1.0457,2.3026,1.0457,0.07
ZS,45,0.008333622022980144,-2371.186,-99.4258,7.7283,-1.4458,-0.8494,-36.0289,-105.2979,-108.4944,48.2156,999999.0,999999.0,-20.1419,77.5607,,,-1.177,2.3026,1.177,0.2522
PRCT,79,0.00824778044023988,-646.0153,-86.9184,3.3638,-7.3221,-5.4766,-63.2927,-137.3215,-154.7658,117.6022,140.3353,-244.3775,-35.3796,49.4374,,,,2.0794,,0.2447
ARHS,105,0.007456350607624837,-529.3071,-122.0179,54.4244,19.1419,13.1596,291.5248,46.1847,31.596,54.2093,813.8683,228.9996,69.6547,42.725,15.027,11.8854,,2.3026,,0.2581
DLO,123,0.00740032662597532,-1145.5204,-92.5452,4.6705,3.0829,2.1021,-59.2271,-71.2371,-78.9794,71.8031,134.3374,70.9375,24.0795,48.6629,32.1208,23.1623,,2.1972,,-0.2475
SPT,33,0.007204812682800411,-2353.4437,-97.3043,6.1055,-1.6266,-1.1911,-48.5165,-107.1813,-111.9108,35.1162,999999.0,999999.0,-28.0315,76.4179,,,-1.5679,2.1972,1.5679,-0.2418
OMEX,75,0.007107535199213338,999999.0,-255.2147,-20.9277,-44.3432,-37.568,-169.5391,-288.2986,-475.6801,30.2082,999999.0,999999.0,999999.0,,,,-0.6447,1.9459,0.6447,0.1077
FRSH,33,0.007055827651624257,-422.1711,-77.7608,12.2147,-7.0869,-3.9778,-1.6928,-116.203,-139.7778,34.2236,999999.0,999999.0,-16.793,80.7686,,,,2.1972,,0.1445
ASTL,138,0.006948909849946877,-99.7341,-48.6122,199.6331,186.0517,58.6217,719.3153,667.1102,486.2172,112.0452,198.5313,148.0199,58.4658,39.7793,37.073,24.3111,,2.3026,,-0.1213
HUBS,33,0.006817240164063335,-2126.7162,-98.8335,7.0641,-0.5107,-0.3732,-41.5118,-99.3576,-103.7325,33.0841,4214.0226,-243.6983,-7.938,82.2053,,,-1.5066,2.3026,1.5066,0.241
LUNR,66,0.0067399029095670075,999999.0,-139.3254,5.5097,-2.9083,-2.635,-54.2593,-119.601,-126.3498,18.4645,999999.0,999999.0,999999.0,12.139,,,,2.0794,,-0.2417
NTRA,78,0.00659850148892477,-875.2292,-90.987,6.4527,-9.5921,-7.0822,-44.177,-161.3891,-170.8217,31.1336,214.9131,-255.5767,-61.9852,44.3741,,,-1.163,2.1972,1.163,-0.1236
CTRA,95,0.006565119431544686,-137.3298,-130.343,31.7638,27.577,23.7866,167.4784,131.0783,137.866,158.3812,42.359,29.4205,32.6661,63.5094,55.1381,43.7634,-0.7634,2.3026,0.7634,0.0391
CCRD,33,0.006237690989871651,-485.5437,-86.1113,16.0739,8.6446,5.9441,25.7595,-27.7888,-40.5591,44.5967,135.4496,58.2761,28.8611,53.18,28.6003,21.8276,-0.7185,2.0794,0.7185,-0.1583
NBN,73,0.00607921281039158,-86.8703,-1098.5073,,,20.2443,,,102.4429,16.0289,,,17.5863,,,42.9597,-0.7891,2.1972,0.7891,0.2383
TENB,33,0.006074243282491814,-1983.0065,-104.7172,10.2288,-1.3128,-1.2703,-17.4746,-106.2751,-112.7029,26.2527,807.9418,-82.9529,-25.19,77.3432,,,-1.2078,2.1972,1.2078,-0.0834
GSL,75,0.005912846319281795,-57.7374,-258.9329,24.5345,23.176,41.9872,235.2845,208.7252,319.872,50.1742,18.8797,14.2675,24.2423,55.3504,52.2857,38.7601,-0.9423,2.1972,0.9423,0.0565
CNOBP,73,0.0057713054831420646,-45.1645,-1690.2623,,,25.7297,,,157.2972,13.4824,,,11.6207,,,43.4355,,2.1972,,0.0992
SEVN,124,0.005620548845594518,-41.0565,-526.2464,,,19.9123,,,99.1233,12.7973,,,8.1753,,,65.1059,-0.7757,2.0794,0.7757,0.0558
VTEX,33,0.005595024246124775,-264.0993,-71.8434,21.4714,-10.2286,-6.2247,48.2851,-122.3272,-162.247,25.0899,281.144,-107.1453,-16.4394,60.9477,,,,2.1972,,0.25
MRNA,14,0.005463400158287496,-309.1999,-88.6011,27.3411,19.1361,12.9549,98.8456,44.1983,29.5488,4.2999,145.9603,81.7265,40.0565,73.0079,51.0985,41.5514,-0.7047,2.3979,0.7047,-0.2089
ACT,137,0.005287700163264073,-83.5259,-146.9515,999999.0,999999.0,20.9784,,,109.784,-2.2596,999999.0,999999.0,17.5224,,,65.6311,,2.3026,,0.1064
SPRO,19,0.005206134475804197,-100.1679,-10.4922,999999.0,999999.0,-48.8184,,-278.052,-588.184,1482.3779,999999.0,999999.0,-48.9004,,,,-1.3123,2.0794,1.3123,0.0
CHCO,73,0.005146758735892477,-217.0059,-522.6769,,,8.1236,,,-18.7644,12.4882,,,17.6286,,,41.3963,-0.673,2.1972,0.673,-0.0026
VLYPO,73,0.0050868483326763116,-144.7595,-651.0818,,,6.7402,,,-32.5977,36.3891,,,9.7571,,,33.5419,-0.645,2.3026,0.645,0.0639
VLYPP,73,0.005086757956050292,-139.785,-670.693,,,6.9801,,,-30.1991,36.3891,,,9.7571,,,33.5419,-0.6568,2.3026,0.6568,-0.1083
CARG,45,0.005006665766697125,-284.879,-80.7233,37.2621,6.1472,4.0543,159.0833,-40.8132,-59.4575,73.9628,217.8475,28.751,11.5497,39.7305,6.5544,5.3829,-1.225,2.3026,1.225,0.2115
LMND,118,0.0049557978563286595,-113.9665,-183.4023,999999.0,999999.0,-23.8738,,,-338.7378,99.9221,999999.0,999999.0,-27.2081,,,,,2.1972,,0.1816
GRVY,123,0.004760122233861089,-173.8327,-46.2256,83.7375,45.0333,15.3156,232.7088,106.2751,53.1561,13.2717,999999.0,999999.0,26.6235,43.8037,23.5572,19.6206,-0.6791,2.1972,0.6791,0.2144
AEIS,66,0.004661691304427921,-340.9207,-91.3177,19.0306,6.7588,5.3201,51.0155,-44.8485,-46.7989,26.75,68.8792,19.5702,18.1374,36.6044,13.0002,10.4796,-1.1105,2.3026,1.1105,0.1385
BKKT,55,0.0045350141820393675,-41.4177,60.085,39.085,-127.0092,-1150.1944,213.3171,-1119.4172,-11601.9441,50.9207,56.4408,-146.7265,-476.3841,97.0529,,,,2.0794,,-0.2849
PNRG,95,0.004473874791912115,-114.789,-121.4643,41.7575,27.3998,29.2933,211.479,107.6988,192.9332,89.2833,48.702,25.5653,33.6255,44.3375,29.0928,34.4243,-0.6596,2.1972,0.6596,0.0859
AMAL,73,0.004460122589655317,-101.7993,-1515.5548,,,16.7012,,,67.0123,31.5819,,,17.0017,,,32.4683,-0.8147,2.1972,0.8147,-0.0844
ASM,82,0.004308215551405266,-107.4444,-96.1251,15.2143,8.9021,5.8338,20.4114,-27.0562,-41.6624,289.4361,16.4249,7.6884,6.268,34.5079,20.1911,14.0762,-0.8451,2.0794,0.8451,-0.2584
CADL,14,0.00430299782431313,-81.8245,12.3285,999999.0,999999.0,-38.5106,,-684.4616,-485.1057,0.0,999999.0,999999.0,-31.5111,,,,,1.7918,,-0.0667
