Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
TMCWW,82,0.008399556305114552,999999.0,-114.831,-1.1532,,-15.8595,-12.9928,,-230.6084,-229.928,,999999.0,999999.0,999999.0,,,,0.0,1.1532,-0.1014
CRML,82,0.008396184274307227,999999.0,-125.4837,-0.5854,,-1.2283,-40.2428,,-114.9735,-502.4282,,999999.0,999999.0,999999.0,,,,0.0,0.5854,0.0124
ASA,114,0.008395714715948945,-137.2996,-100.2041,-0.7596,,,15.1252,,,51.252,998.8973,,,20.7668,,,77.5517,2.1972,0.7596,0.0041
NREF,124,0.008395504087747759,-55.7528,-2219.1076,-0.7392,,,12.2092,,,22.0923,,,,6.807,,,98.5227,2.0794,0.7392,0.0441
AGNCM,124,0.008392689286679404,-220.7233,-463.1735,-0.498,,,3.2042,,,-67.9584,287.6494,,,7.0723,,,70.9558,2.1972,0.498,0.0343
AGNCP,124,0.008392554476712291,-223.548,-458.5844,-0.4753,,,3.1637,,,-68.3633,287.6494,,,7.0723,,,70.9558,2.1972,0.4753,0.026
DX,124,0.008330556972846972,-85.8777,-787.8612,-0.6861,,,8.9543,,,-10.4571,462.2491,,,7.6897,,,60.5857,2.1972,0.6861,0.0005
AVR,67,0.008238695382966824,-705.5572,-90.556,,,,,,,,,999999.0,999999.0,,,,,,,0.186
LUNR,66,0.008168009108349729,-27480.8058,-105.0264,-0.8502,0.147,-2.7801,-25.7543,-172.7061,-213.6303,-357.5427,186.6086,999999.0,999999.0,-7077.4802,1.2145,,,2.1972,0.8502,0.0005
PLSE,79,0.008070266997003668,-879.3041,-89.7759,-1.0064,,-6.3072,-4.2444,,-132.8735,-142.4441,,999999.0,999999.0,-37.3213,,,,0.0,1.0064,0.2396
REAX,123,0.007719043829789235,-2690.0753,-97.8652,-0.7782,13.7936,-1.9206,-2.4475,9.9558,-110.9845,-124.4745,83.5049,999999.0,999999.0,-65.8383,9.073,,,2.3026,0.7782,-0.0468
XOMA,19,0.007655025789453263,-380.9482,-103.7414,-0.7097,,-2.7896,-4.9934,,-127.4647,-149.9339,114.7961,,-7.639,-19.0222,,,,2.0794,0.7097,0.5144
XOMAP,19,0.007653498932953503,-363.2315,-103.9239,-0.4526,,-2.9199,-5.2369,,-128.8043,-152.3694,114.7961,,-7.639,-19.0222,,,,2.0794,0.4526,0.046
VANI,16,0.007644287741743998,-427.1894,-102.2226,-0.5803,,-43.3873,-24.9758,,-338.0282,-349.7579,,999999.0,999999.0,-106.6939,,,,0.0,0.5803,0.2047
BKKT,55,0.007546152886540011,-192.9865,-118.5717,-2.0523,78.2436,-75.269,-68.1147,482.1986,-643.7445,-781.1468,347.3861,365.5394,-281.3141,-131.4521,2.4931,,,2.3026,2.0523,0.0136
AMBC,118,0.00735807690962633,-27.5808,-2181.3285,-0.8203,,,-14.5196,,,-245.1956,89.0634,,,-4.0046,,,,2.1972,0.8203,0.0024
GOTU,102,0.007283291691436344,-222.521,-105.7921,-0.6597,272.7666,-104.0342,-19.3442,549.77,-246.1593,-293.4419,53.7941,999999.0,999999.0,-43.0449,68.0488,,,2.1972,0.6597,-0.0008
NBN,73,0.007197562289985243,-162.6492,-570.7721,-0.7579,,,12.5078,,,25.0781,35.1032,,,20.3438,,,49.2269,2.1972,0.7579,-0.0001
ETV,70,0.007066390308551164,-90.7538,-100.7298,-0.877,,,17.2245,,,72.2448,33.5274,,,15.6319,,,79.6966,2.1972,0.877,0.0539
SMR,81,0.006861483468140245,-954.5558,-91.146,-1.4191,0.8635,-3.731,-6.4079,-80.0245,-111.6216,-164.0794,62.4068,277.6548,-959.7025,-61.1674,86.673,,,2.0794,1.4191,0.1221
NTRA,78,0.006700144751171741,-1792.8105,-95.5246,-0.998,4.9804,-1.0821,-0.7082,-57.6645,-104.1548,-107.0823,56.7482,332.7278,-57.8315,-12.6972,60.2953,,,2.3026,0.998,-0.0084
ZS,45,0.006684985991487391,-2721.5018,-99.1371,-1.1449,4.3633,-0.27,-0.0299,-62.6053,-98.2549,-100.2988,23.3117,999999.0,999999.0,-0.8133,76.8742,,,2.3026,1.1449,-0.0057
PDYN,33,0.0063738567143857205,999999.0,-107.9616,-1.6127,1.805,-11.3873,-20.8815,-73.2356,-163.572,-308.8151,26.684,999999.0,999999.0,999999.0,55.2016,,,1.9459,1.6127,0.2022
