Ticker,Industry,Score,PB,NCAV,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BAB_1,BIG,Beta,Performance
AIRJ,66,0.008996578727444209,-10692.3321,-99.06,,-0.5109,-0.4049,,-103.1045,-104.0489,,999999.0,999999.0,-43.2919,,,,,0.0,,0.0192
NB,82,0.008996572499712247,999999.0,-115.7289,,-22.3655,-20.701,,-297.2644,-307.0104,,999999.0,999999.0,999999.0,,,,,0.0,,-0.2903
TMCWW,82,0.008996572499712247,-125.9973,-107.0179,,-3212.9791,-261.4191,,-2673.9659,-2714.1914,,999999.0,999999.0,-329.381,,,,,0.0,,-0.3878
REAX,123,0.00899597908582382,-1533.1286,-97.8027,9.8255,-6.0724,-4.7339,-20.2461,-140.5915,-147.3388,213.7351,868.9149,-429.6111,-72.5764,8.3692,,,,2.1972,,-0.2304
SRRK,14,0.008903622391147269,-149.7152,-37.6933,,-108.3679,-27.6177,,-307.7309,-376.1768,76.4084,999999.0,999999.0,-41.3479,,,,-0.8458,2.0794,0.8458,-0.1353
MNDY,33,0.008474813885406648,-1202.4712,-93.0526,6.209,-2.0859,-1.2671,-44.873,-104.0401,-112.671,68.4339,999999.0,999999.0,-15.2365,87.1822,,,,2.1972,,-0.0597
DX,124,0.008330151611612093,-54.7386,-648.0431,,,23.2134,,,132.1335,38.6199,,,12.7067,,,64.7052,-0.9379,2.1972,0.9379,-0.0456
CRWD,33,0.008288731531834867,-2328.0742,-99.356,5.0171,-0.5816,-0.3694,-56.5081,-98.7881,-103.6937,54.3983,999999.0,999999.0,-8.5991,73.1741,,,-1.0438,2.3026,1.0438,0.1544
ZS,45,0.008273759381049977,-2969.3103,-99.5415,6.0984,-1.1409,-0.6783,-48.9149,-104.2307,-106.7834,48.2156,999999.0,999999.0,-20.1419,77.5607,,,-1.2437,2.3026,1.2437,0.0997
PRCT,79,0.008192230468116395,-804.107,-89.4903,2.6227,-5.7088,-4.3999,-70.5096,-129.9839,-143.9986,117.6022,140.3353,-244.3775,-35.3796,49.4374,,,,2.0794,,-0.105
ARHS,105,0.007418469818389983,-665.9436,-117.5003,41.9621,14.7587,10.4595,211.1928,16.1909,4.5955,54.2093,813.8683,228.9996,69.6547,42.725,15.027,11.8854,,2.3026,,-0.1198
DLO,123,0.007360995525257719,-861.9653,-90.0929,6.3267,4.1761,2.7936,-45.8143,-61.7751,-72.0644,71.8031,134.3374,70.9375,24.0795,48.6629,32.1208,23.1623,,2.1972,,0.6075
SPT,33,0.007165498114744757,-1784.4113,-96.4447,8.1947,-2.1832,-1.5709,-32.0989,-109.4714,-115.7091,35.1162,999999.0,999999.0,-28.0315,76.4179,,,-1.5131,2.1972,1.5131,0.0702
OMEX,75,0.0070653169560308685,999999.0,-240.1244,-17.8889,-37.9045,-33.9156,-162.7784,-269.9918,-439.1557,30.2082,999999.0,999999.0,999999.0,,,,-0.6669,1.9459,0.6669,0.0361
FRSH,33,0.007017867137754933,-483.188,-80.5692,10.2224,-5.931,-3.4755,-14.107,-114.1569,-134.7546,34.2236,999999.0,999999.0,-16.793,80.7686,,,,2.1972,,0.1018
ASTL,138,0.006888938358378442,-87.6376,-41.5193,267.0416,248.8743,66.7132,832.4037,772.9929,567.1315,112.0452,198.5313,148.0199,58.4658,39.7793,37.073,24.3111,,2.3026,,-0.0487
HUBS,33,0.006784514782952257,-2639.3108,-99.06,5.64,-0.4077,-0.3008,-52.8711,-99.4824,-103.0076,33.0841,4214.0226,-243.6983,-7.938,82.2053,,,-1.4862,2.3026,1.4862,-0.069
LUNR,66,0.006705603133344448,999999.0,-151.8577,7.3372,-3.8729,-3.4747,-39.6826,-125.8474,-134.747,18.4645,999999.0,999999.0,999999.0,12.139,,,,2.0794,,-0.5177
