Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
FDMT,14,0.008571343259942172,-287.9807,-69.2176,-1.8756,,-18.866,-9.0999,,-169.3415,-190.9991,562.2883,,-460.7522,-26.206,,,,2.0794,1.8756,-0.501
ETV,70,0.008564127192734451,-92.5705,-102.1364,-0.9063,,,14.2943,,,42.9432,,,,13.2323,,,79.5798,2.1972,0.9063,0.0289
ASA,114,0.008563234744674913,-102.4287,-100.206,-0.9568,,,2.2681,,,-77.3194,,,,2.3231,,,71.8873,2.0794,0.9568,0.179
ARCC,55,0.008563115198352789,-97.0827,-215.861,-0.8125,,,11.3442,,,13.4424,120.7827,,,11.0133,,,75.4034,2.3026,0.8125,0.0218
PSEC,55,0.008489125894106586,-52.4505,-312.9294,-1.1466,,,10.8005,,,8.0053,,,,5.6649,,,65.5218,2.1972,1.1466,-0.0086
AIRJ,66,0.008439910078661132,999999.0,-101.1026,,,-2.1568,-1.7225,,-117.1713,-117.2249,,999999.0,999999.0,999999.0,,,,0.0,,-0.4197
PLSE,79,0.008352527229679814,-1442.4265,-95.0775,-1.7321,0.0,-7.3173,-5.2774,-93.0665,-147.5458,-152.774,,999999.0,999999.0,-76.1226,,,,0.0,1.7321,0.4487
AGNCM,124,0.00817709400378341,-186.8788,-510.477,-0.6733,,,0.8036,,,-91.964,,,,1.5018,,,49.4024,2.1972,0.6733,0.0255
AGNCP,124,0.008176915693603131,-184.9188,-514.8278,-0.6468,,,0.8121,,,-91.8788,,,,1.5018,,,49.4024,2.1972,0.6468,0.0255
SPRO,19,0.007888277314584819,-64.7039,-13.4094,-0.9525,999999.0,999999.0,29.3838,,320.1992,193.8383,99.1293,,70.1207,19.0125,,27.6911,21.0091,2.0794,0.9525,0.0038
AMBC,118,0.007880463863549845,-39.4913,-1337.4779,-1.2646,,,-3.4271,,,-134.2713,132.6494,,,-1.3534,,,,2.1972,1.2646,-0.0959
OTLK,14,0.0078114559700525965,999999.0,-108.8574,-1.9392,,-50.8774,-51.1416,,-573.8391,-611.416,,999999.0,999999.0,999999.0,,,,0.0,1.9392,-0.2595
REAX,123,0.007810511883356665,-2128.9637,-97.0806,-1.2694,8.2642,-3.4188,-2.7578,-32.6535,-122.718,-127.5778,80.5232,770.9749,-255.1563,-58.7121,9.1232,,,2.1972,1.2694,0.3209
CADL,14,0.007807735006667892,-1426.5898,-94.6513,,,-22.8951,-16.6931,,-261.1444,-266.931,,999999.0,999999.0,-238.142,,,,0.0,,0.0896
CGEM,14,0.007807700017500441,-154.1547,-33.8248,-1.381,,-81.885,-19.3481,,-251.2529,-293.4805,,999999.0,999999.0,-29.8259,,,,0.0,1.381,0.011
SRRK,14,0.007805410918506813,-257.4055,-65.0908,-1.0408,,-48.9689,-22.8784,,-296.7213,-328.7835,,999999.0,999999.0,-58.8901,,,,0.0,1.0408,-0.0367
ZS,45,0.00749456964756815,-2353.7114,-99.7755,-1.3957,5.8864,-0.423,-0.078,-50.673,-99.0144,-100.7797,34.0653,25147.1367,-1445.5094,-1.8353,77.9899,,,2.3026,1.3957,-0.1371
DTIL,14,0.007476208229298147,-207.7493,-110.5708,-2.0787,999999.0,999999.0,-86.8261,,-752.3701,-968.2615,94.1469,999999.0,999999.0,-180.3807,,,,2.0794,2.0787,-0.0276
NBN,73,0.007349659090490674,-131.8873,-654.739,-1.118,,,14.1913,,,41.913,24.4994,,,18.7165,,,46.6231,2.1972,1.118,0.2177
PRCT,79,0.006341795586686323,-1142.1811,-92.7709,,2.3677,-3.638,-2.6419,-75.8544,-120.8151,-126.419,81.5541,94.8978,-116.6518,-30.1752,52.1686,,,2.1972,,0.2003
NTRA,78,0.006307127914102267,-1729.668,-95.1449,-1.4675,3.8731,-3.5077,-2.626,-66.3266,-123.0731,-126.2603,31.9851,197.3352,-142.9717,-45.4216,45.5157,,,2.3026,1.4675,0.1844
VTEX,33,0.006295163944595247,-550.5527,-87.4949,,12.6208,-1.311,-0.6401,0.8132,-93.005,-106.4011,28.2718,454.5743,-37.7764,-3.5241,63.7384,,,2.1972,,0.0362
GRVY,123,0.006283500522591775,-170.6241,-44.9257,-1.0559,73.7599,49.7975,17.0568,202.0049,122.9889,70.5685,58.6108,999999.0,999999.0,29.1031,33.8518,22.8544,18.9917,2.1972,1.0559,-0.2607
CHCO,73,0.006223483256909196,-226.4993,-458.0572,-0.9595,,,7.4653,,,-25.3466,14.7697,,,16.909,,,40.5366,2.1972,0.9595,0.0696
DLO,123,0.0061929027582654115,-488.8302,-82.6116,-1.6198,14.5755,9.2931,6.4189,14.1755,-21.9033,-35.8112,53.3427,213.5352,108.9174,31.3774,43.4593,27.709,22.4175,2.1972,1.6198,0.0656
SPT,33,0.006142724606811853,-1418.4521,-102.2552,-2.1917,12.831,-3.4537,-2.5729,2.5967,-125.1705,-125.7285,31.4445,245.6173,-52.8898,-36.4947,77.1408,,,2.1972,2.1917,-0.2145
HUBS,33,0.006002367447146601,-2208.4715,-99.2427,-1.6272,6.4193,-0.3647,-0.4088,-47.1067,-99.6629,-104.0877,25.3766,455.3238,-20.6971,-9.0276,84.4089,,,2.3026,1.6272,-0.1191
EDU,102,0.005866799343247924,-3230.2662,-98.533,-0.8207,1.7914,0.2774,0.3021,-82.7296,-94.4256,-96.9794,43.8936,999999.0,999999.0,9.7573,52.4535,8.1238,9.1588,2.3026,0.8207,-0.0119
FRSH,33,0.005660750432711685,-360.8168,-73.6652,,18.3891,-6.3467,-2.5593,32.6508,-104.4909,-125.5926,19.7657,999999.0,999999.0,-9.2342,82.6688,,,2.1972,,-0.1557
BKKT,55,0.00553112496508527,-50.4022,-24.6874,-3.2692,72.0298,-149.8675,-263.5772,595.6549,-1624.6492,-2735.7719,1287.5498,94.1789,-156.7613,-132.8488,7.8993,,,2.1972,3.2692,-0.4969
BRBR,107,0.005437649766463549,999999.0,-107.468,-0.8929,6.2065,3.3631,2.2797,-55.6107,-80.7351,-77.2028,21.9047,109.3421,47.3995,999999.0,32.7952,17.7708,10.9062,2.3026,0.8929,0.0246
OSBC,73,0.005332479408340085,-115.7083,-870.3311,-1.1215,,,14.9,,,49.0001,14.7242,,,17.2405,,,35.4203,2.1972,1.1215,-0.0162
GRND,34,0.005160938647400383,999999.0,-118.7776,-0.4991,8.0357,2.3178,-1.9909,-41.0906,-93.7193,-119.9092,33.1646,65.2296,15.052,999999.0,74.0237,21.3515,,2.1972,0.4991,-0.0109
GRMN,66,0.005096777533895479,-433.1834,-89.4941,-1.3197,10.5782,3.8447,3.1614,-14.3781,-64.7561,-68.3858,7.5709,59.575,17.3222,13.6948,57.4753,20.8896,18.3672,2.3026,1.3197,0.0698
RNR,118,0.004891503602914419,-71.5589,-400.5092,-1.0402,,,22.3513,,,123.5133,80.0523,,,15.9944,,,27.3679,2.3026,1.0402,0.2949
RDW,83,0.004794474844434781,-852.781,-122.7985,-1.6929,9.5855,-2.5688,-4.9281,-31.3011,-161.8352,-149.2806,51.854,52.3342,-11.2199,-42.0256,23.7773,,,2.1972,1.6929,-0.0159
AM,92,0.0047048629503261205,-305.7108,-153.1046,-0.7836,7.0731,6.3122,6.0817,-64.6215,-73.683,-39.1831,12.2935,12.9089,9.2161,18.5924,62.2546,55.5568,35.9621,2.3026,0.7836,0.0695
GSL,75,0.00467191506519366,-78.1379,-171.9594,-1.1003,23.9058,22.7357,26.3609,153.5029,137.7554,163.6089,10.2943,20.4969,15.5949,20.5978,55.8237,53.0914,36.5911,2.1972,1.1003,-0.0754
CYBR,33,0.0045995812621827375,-1443.3966,-100.0857,-1.4035,5.4084,-1.0574,-0.4425,-54.6436,-104.4655,-104.425,27.0704,160.4754,-25.0987,-6.3871,79.2348,,,2.1972,1.4035,0.0137
WVE,19,0.004475804717964124,-1569.5858,-99.3444,-0.9323,,-16.1252,-7.4839,,-155.2415,-174.8392,3005.0973,999999.0,999999.0,-117.4666,,,,2.1972,0.9323,0.6916
GCTS,132,0.004338859374420435,999999.0,-151.0684,,2.1651,-4.6807,-7.5374,-110.489,-183.6767,-175.3738,-3.8455,999999.0,999999.0,999999.0,42.014,,,2.0794,,-0.4566
CTNM,19,0.00429855655296588,999999.0,-112.1654,,,3.6993,3.3113,,-54.66,-66.8872,,999999.0,999999.0,999999.0,,32.154,37.072,2.0794,,-0.1394
AMAL,73,0.004227787771433705,-136.7499,-1022.8106,-1.2004,,,12.4654,,,24.6544,7.2061,,,17.0465,,,34.9243,2.1972,1.2004,0.1142
