Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
ROL,42,0.0009555512914368194,-1980.9368,-103.6778,-0.7731,6.6964,2.4648,1.9128,-46.9675,-81.2123,-80.8718,10.2636,109.1206,32.1327,37.8917,52.69,19.3945,14.8784,2.3026,0.7731,0.0196
CRI,7,0.0008903821899126451,-174.5776,-128.3338,-1.2217,86.5632,18.0542,12.3769,626.3435,46.9711,23.7687,-3.4456,145.2671,24.2383,21.6072,47.9999,10.0112,6.4923,2.3026,1.2217,-0.2296
MSA,67,0.0008527908968822514,-510.5996,-103.6933,-0.9003,13.9122,6.4547,5.139,11.9695,-51.2371,-48.6098,1.1464,57.8734,21.4807,26.2398,47.5873,22.0786,16.5919,2.3026,0.9003,0.1634
CTRA,95,0.000845750665724676,-159.489,-124.7561,-0.7492,8.8963,6.1806,5.1414,-30.8921,-54.1718,-48.586,-3.9086,13.6466,7.5847,8.2,37.0542,25.7429,19.9851,2.3026,0.7492,-0.1289
ABLLL,71,0.0008450861567258579,-547.8941,-112.5134,,3.9168,0.0718,-0.6703,-76.009,-110.0579,-106.7034,68.5562,14.9594,0.2195,-3.6728,89.8398,1.6475,,2.1972,,0.0016
SEVN,124,0.0007936845209189958,-67.7116,-332.2846,-0.8498,,,7.8332,,,-21.6683,-9.0796,,,5.304,,,47.6541,2.0794,0.8498,0.0139
AREN,45,0.0007699225420822963,999999.0,-328.1486,-0.769,27.0304,4.3987,-6.6376,268.0064,-149.4252,-166.376,-12.3393,999999.0,999999.0,999999.0,44.2533,7.2013,,2.1972,0.769,2.2128
EXR,124,0.0007331985574607372,-205.823,-140.3056,-0.9314,5.3834,3.2075,2.4424,-81.3105,-106.1712,-75.5765,27.2106,8.6952,4.1446,5.0269,72.199,43.0172,22.9349,2.3026,0.9314,0.0405
CNOBP,73,0.000720561019707326,-68.5206,-1115.2407,-0.5898,,,9.2585,,,-7.4148,-1.8736,,,6.344,,,29.8311,2.1972,0.5898,0.0203
AFL,1,0.0007204685322816448,-234.011,-249.7703,-0.8552,999999.0,999999.0,8.4058,,,-15.9421,1.5233,999999.0,999999.0,19.6705,,,26.8381,2.3979,0.8552,-0.0728
ASTL,138,0.0007071212412899339,-54.1443,-88.3707,-1.1507,32.8461,19.4656,14.2502,171.9729,58.8763,42.5018,0.6226,18.2317,8.6438,7.7157,10.0973,5.984,4.1462,2.3026,1.1507,0.273
IHRT,22,0.0007041851048906621,999999.0,-2573.6507,-2.1647,44.9314,3.1647,-414.93,5809.9172,-1672.3775,-4249.3,2.7594,65.8584,3.7109,999999.0,58.7776,4.1399,,2.3026,2.1647,0.2288
NKTR,19,0.0006944334588895176,-201.875,-85.1737,-1.2812,999999.0,999999.0,-77.7733,550.1392,-739.5074,-877.7328,9.2153,999999.0,999999.0,-157.0048,68.8236,,,2.0794,1.2812,1.5788
EC,95,0.0005715355228571462,-1460.9207,-108.4329,-0.908,2.7976,2.1703,1.5877,-84.0069,-89.4376,-84.1235,-6.8854,22.6121,14.034,23.1943,35.1377,27.2598,18.4249,2.3979,0.908,-0.0335
EML,66,0.0005635099122567397,-129.7602,-97.1374,-0.9894,37.5399,11.2446,8.722,229.2001,-11.4912,-12.7801,5.3677,46.9512,11.2509,11.3177,24.6624,7.3873,5.008,2.1972,0.9894,-0.0788
SB,75,0.000552538030537841,-46.1787,-203.9185,-0.8677,17.6249,14.0668,20.285,84.9052,25.9579,102.8504,8.9908,11.2781,7.2011,9.3674,44.2798,35.3407,24.6091,2.1972,0.8677,0.0104
NEON,66,0.0005373646441177505,-876.8112,-88.9321,-1.7447,2.3423,-5.1253,-3.2518,-72.0023,-124.936,-132.5182,-18.83,19946.6667,-34917.3333,-28.5123,96.2677,,,1.9459,1.7447,1.9907
CPB,107,0.0005110757795551743,-290.6014,-176.3944,-0.4757,17.3258,7.5158,5.613,61.2593,-63.2704,-43.8699,6.4031,29.5388,10.251,16.3115,30.4204,13.1961,6.2109,2.3979,0.4757,-0.181
