Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
FDMT,14,0.008434221385196153,-143.7105,-38.3154,-1.8914,,-73.2187,-18.2353,,-238.9531,-282.3526,562.2883,,-460.7522,-26.206,,,,2.0794,1.8914,-0.4323
ETV,70,0.008423818377363106,-95.2414,-102.0765,-0.9069,,,13.8935,,,38.9347,,,,13.2323,,,79.5798,2.1972,0.9069,0.0585
ASA,114,0.008423313421349245,-120.7648,-100.1747,-0.9692,,,1.9237,,,-80.763,,,,2.3231,,,71.8873,2.0794,0.9692,-0.0019
ARCC,55,0.008422516002123738,-99.1992,-213.389,-0.7861,,,11.1022,,,11.022,120.7827,,,11.0133,,,75.4034,2.3026,0.7861,0.0894
PSEC,55,0.008358349426148994,-51.9978,-314.7833,-1.1079,,,10.8946,,,8.9457,,,,5.6649,,,65.5218,2.1972,1.1079,-0.1504
AIRJ,66,0.008315585603243832,999999.0,-101.9,,,-3.7185,-2.9682,,-129.5892,-129.6817,,999999.0,999999.0,999999.0,,,,0.0,,0.3806
PLSE,79,0.008233230601815366,-2089.6855,-96.6022,-1.6381,0.0,-4.9369,-3.6428,-95.2141,-132.819,-136.4278,,999999.0,999999.0,-76.1226,,,,0.0,1.6381,0.0762
AGNCM,124,0.008056393412885443,-191.6377,-500.2837,-0.6313,,,0.7836,,,-92.1636,,,,1.5018,,,49.4024,2.1972,0.6313,0.0314
AGNCP,124,0.008056095727116446,-189.6421,-504.4959,-0.6009,,,0.7919,,,-92.0811,,,,1.5018,,,49.4024,2.1972,0.6009,0.0289
SPRO,19,0.0077952259186198445,-64.9518,-13.7399,-0.8722,999999.0,999999.0,29.2717,,318.5954,192.7167,99.1293,,70.1207,19.0125,,27.6911,21.0091,2.0794,0.8722,-0.1756
AMBC,118,0.0077942908916951254,-35.7032,-1468.7753,-1.243,,,-3.7908,,,-137.9075,132.6494,,,-1.3534,,,,2.1972,1.243,0.0973
REAX,123,0.007719344097469118,-2812.2123,-97.7899,-1.2174,6.1995,-2.5647,-2.0878,-49.0158,-117.1985,-120.8776,80.5232,770.9749,-255.1563,-58.7121,9.1232,,,2.1972,1.2174,-0.1901
CADL,14,0.007711387092662298,-1554.4122,-95.0911,-1.8194,,-20.8678,-15.3204,,-247.8932,-253.2039,,999999.0,999999.0,-238.142,,,,0.0,1.8194,0.3201
CGEM,14,0.007706174654016322,-155.8559,-34.5472,-1.2871,,-79.2563,-19.1369,,-249.6019,-291.3686,,999999.0,999999.0,-29.8259,,,,0.0,1.2871,-0.2486
OTLK,14,0.007705404000397238,999999.0,-111.9617,-1.2084,,-66.0147,-69.0655,,-739.9085,-790.6551,,999999.0,999999.0,999999.0,,,,0.0,1.2084,-0.6076
SRRK,14,0.007703026431163265,-247.9594,-63.7609,-0.9656,,-52.1399,-23.7499,,-304.2155,-337.4991,,999999.0,999999.0,-58.8901,,,,0.0,0.9656,5.0082
ZS,45,0.007409501262006271,-2030.9228,-99.7399,-1.3629,6.8701,-0.4936,-0.0904,-42.8331,-98.8578,-100.9037,34.0653,25147.1367,-1445.5094,-1.8353,77.9899,,,2.3026,1.3629,0.0705
DTIL,14,0.007389982565278027,-202.0091,-110.8711,-1.7957,999999.0,999999.0,-89.2933,,-770.9074,-992.9334,94.1469,999999.0,999999.0,-180.3807,,,,2.0794,1.7957,-0.4874
NBN,73,0.007262569633559133,-160.5973,-555.5685,-1.0928,,,11.6543,,,16.5433,24.4994,,,18.7165,,,46.6231,2.1972,1.0928,0.2295
PRCT,79,0.006262004197268176,-1370.9428,-93.9772,-1.5376,1.9503,-2.9967,-2.2011,-79.8835,-117.3418,-122.0106,81.5541,94.8978,-116.6518,-30.1752,52.1686,,,2.1972,1.5376,0.097
NTRA,78,0.006255783384623621,-2048.5707,-95.9007,-1.3152,3.2497,-2.9431,-2.2172,-71.5686,-119.4813,-122.1724,31.9851,197.3352,-142.9717,-45.4216,45.5157,,,2.3026,1.3152,0.2249
GRVY,123,0.006244844576510021,-126.1479,-25.5081,-0.9514,200.6519,135.4662,23.0706,308.4833,201.6085,130.7061,58.6108,999999.0,999999.0,29.1031,33.8518,22.8544,18.9917,2.1972,0.9514,0.0453
VTEX,33,0.006239474503473823,-570.4614,-87.9313,-1.3787,12.1009,-1.257,-0.6178,-2.7051,-93.2492,-106.1777,28.2718,454.5743,-37.7764,-3.5241,63.7384,,,2.1972,1.3787,-0.1987
CHCO,73,0.00616631025401723,-242.2606,-434.7623,-0.9377,,,6.9797,,,-30.2034,14.7697,,,16.909,,,40.5366,2.1972,0.9377,0.0399
DLO,123,0.006155005894426036,-520.8945,-83.682,-1.3287,13.5355,8.63,6.0238,7.1473,-26.7106,-39.7624,53.3427,213.5352,108.9174,31.3774,43.4593,27.709,22.4175,2.1972,1.3287,0.3566
SPT,33,0.006098963095989593,-1114.2474,-102.8709,-2.0069,16.4221,-4.4203,-3.2753,30.607,-132.0424,-132.7528,31.4445,245.6173,-52.8898,-36.4947,77.1408,,,2.1972,2.0069,0.0742
HUBS,33,0.005951304669646441,-1945.4088,-99.1403,-1.4796,7.3197,-0.4159,-0.464,-39.9543,-99.6173,-104.6405,25.3766,455.3238,-20.6971,-9.0276,84.4089,,,2.3026,1.4796,0.3554
EDU,102,0.005841191210066918,-3191.6676,-98.5153,-0.7962,1.8138,0.2809,0.3057,-82.5207,-94.3582,-96.9429,43.8936,999999.0,999999.0,9.7573,52.4535,8.1238,9.1588,2.3026,0.7962,-0.2152
FRSH,33,0.0055448705529639805,-304.6467,-68.8096,-1.4697,23.7165,-8.1853,-3.0311,57.1087,-105.3189,-130.3113,19.7657,999999.0,999999.0,-9.2342,82.6688,,,2.1972,1.4697,0.4441
BKKT,55,0.00548747749947583,-25.3549,49.7119,-3.0081,119.5161,-248.6691,-523.9578,1282.873,-3130.8078,-5339.5778,1287.5498,94.1789,-156.7613,-132.8488,7.8993,,,2.1972,3.0081,1.8049
BRBR,107,0.0053581843688943745,999999.0,-107.2887,-0.8713,6.0712,3.2898,2.225,-56.6766,-81.1978,-77.7503,21.9047,109.3421,47.3995,999999.0,32.7952,17.7708,10.9062,2.3026,0.8713,0.2353
OSBC,73,0.005308936548863262,-113.8339,-883.0152,-1.0549,,,15.1454,,,51.4535,14.7242,,,17.2405,,,35.4203,2.1972,1.0549,0.1807
GRND,34,0.005110485078645187,999999.0,-118.9854,-0.5026,8.1129,2.3401,-2.0129,-40.4388,-93.6499,-120.1294,33.1646,65.2296,15.052,999999.0,74.0237,21.3515,,2.1972,0.5026,0.5277
GRMN,66,0.005018262959570541,-463.4114,-90.1794,-1.2763,9.8437,3.5777,2.9552,-19.9632,-67.0551,-70.4479,7.5709,59.575,17.3222,13.6948,57.4753,20.8896,18.3672,2.3026,1.2763,0.193
RNR,118,0.00480737381861157,-92.6616,-332.0714,-0.9229,,,17.261,,,72.6105,80.0523,,,15.9944,,,27.3679,2.3026,0.9229,-0.0948
RDW,83,0.004751307536564201,-839.2057,-123.1673,-1.532,9.7005,-2.5996,-5.0078,-30.1898,-162.8354,-150.0778,51.854,52.3342,-11.2199,-42.0256,23.7773,,,2.1972,1.532,1.5059
AM,92,0.004645880546023188,-326.9714,-149.6516,-0.7551,6.7574,6.0304,5.6862,-66.9219,-75.3942,-43.1375,12.2935,12.9089,9.2161,18.5924,62.2546,55.5568,35.9621,2.3026,0.7551,0.0105
