Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
FDMT,14,0.008705965428652925,-391.5306,-77.3588,-1.947,,-12.3081,-6.6932,,-151.0024,-166.9321,562.2883,,-460.7522,-26.206,,,,2.0794,1.947,-0.2645
ETV,70,0.008683938709625106,-85.6169,-102.3099,-0.9214,,,15.4553,,,54.5527,,,,13.2323,,,79.5798,2.1972,0.9214,0.0812
ARCC,55,0.008682360375292532,-93.3013,-220.5568,-0.8806,,,11.804,,,18.0402,120.7827,,,11.0133,,,75.4034,2.3026,0.8806,0.0405
ASA,114,0.008678630021276005,-89.3947,-100.236,-0.9198,,,2.5988,,,-74.0125,,,,2.3231,,,71.8873,2.0794,0.9198,0.1458
PSEC,55,0.008604050523780295,-50.2245,-322.3668,-1.1674,,,11.2792,,,12.7923,,,,5.6649,,,65.5218,2.1972,1.1674,0.0443
AIRJ,66,0.008542818332042576,999999.0,-101.0002,,,-1.9563,-1.5625,,-115.5761,-115.6248,,999999.0,999999.0,999999.0,,,,0.0,,-0.0929
PLSE,79,0.00846137231063955,-972.1525,-92.6963,-1.7786,0.0,-11.2629,-7.8303,-89.7124,-170.5459,-178.3032,,999999.0,999999.0,-76.1226,,,,0.0,1.7786,0.4837
AGNCM,124,0.008383230331714309,-178.4772,-529.7999,-0.7406,,,0.8414,,,-91.5857,,,,1.5018,,,49.4024,2.1972,0.7406,0.0471
AGNCP,124,0.008382355111745314,-175.4278,-537.2709,-0.6989,,,0.8561,,,-91.4395,,,,1.5018,,,49.4024,2.1972,0.6989,0.0541
SPRO,19,0.008204086641692586,-89.2468,-37.2218,-0.9438,,140.4931,21.3033,,204.6444,113.0327,99.1293,,70.1207,19.0125,,27.6911,21.0091,2.0794,0.9438,-0.275
AMBC,118,0.007991220459317758,-48.5512,-1106.5571,-1.0221,,,-2.7876,,,-127.8761,132.6494,,,-1.3534,,,,2.1972,1.0221,-0.1866
REAX,123,0.007913108838450405,-1529.8831,-95.9374,-1.2009,11.6729,-4.829,-3.8377,-6.2815,-131.6141,-138.3769,80.5232,770.9749,-255.1563,-58.7121,9.1232,,,2.1972,1.2009,0.3916
OTLK,14,0.007906082217914657,999999.0,-106.4741,-1.6961,,-38.3906,-37.3808,,-446.3422,-473.8082,,999999.0,999999.0,999999.0,,,,0.0,1.6961,-0.2691
CADL,14,0.0078984529023576,-385.7499,-80.2192,,,-109.6046,-61.7348,,-695.9484,-717.3482,,999999.0,999999.0,-238.142,,,,0.0,,2.6982
CGEM,14,0.007897764479935947,-160.5817,-36.4734,-1.2998,,-72.7675,-18.5737,,-245.1992,-285.7368,,999999.0,999999.0,-29.8259,,,,0.0,1.2998,-0.04
SRRK,14,0.00789232846142349,-530.3296,-83.0561,-1.0408,,-17.7604,-11.1044,,-195.4824,-211.0444,,999999.0,999999.0,-58.8901,,,,0.0,1.0408,-0.5146
ZS,45,0.007597143252175296,-2258.9215,-99.7661,-1.4921,6.1448,-0.4415,-0.0812,-48.6031,-98.9731,-100.8125,34.0653,25147.1367,-1445.5094,-1.8353,77.9899,,,2.3026,1.4921,0.042
DTIL,14,0.007584581475326974,-313.5005,-107.005,-2.0787,999999.0,999999.0,-57.5376,,-532.31,-675.3761,94.1469,999999.0,999999.0,-180.3807,,,,2.0794,2.0787,-0.3373
NBN,73,0.007498940863561106,-117.9331,-720.3774,-1.068,,,15.8705,,,58.7046,24.4994,,,18.7165,,,46.6231,2.1972,1.068,0.1183
