Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,Beta,Performance
AIRJ,66,0.011784794991588906,999999.0,-101.3762,,,-2.6925,-2.1499,,-121.4318,-121.4987,,999999.0,999999.0,999999.0,,,,0.0,,-0.3521
PLSE,79,0.011779953256125287,-2248.9719,-96.8429,-1.6017,0.0,-4.571,-3.3848,-95.553,-130.4945,-133.8477,,999999.0,999999.0,-76.1226,,,,0.0,1.6017,-0.0596
FDMT,14,0.011775430690464472,-81.5805,8.6623,-1.8112,999999.0,999999.0,-32.1228,,-344.7767,-421.2284,562.2883,,-460.7522,-26.206,,,,2.0794,1.8112,-0.4374
REAX,123,0.011588495801146265,-2277.4959,-97.271,-1.2449,7.7063,-3.188,-2.5779,-37.0456,-121.2364,-125.7792,80.5232,770.9749,-255.1563,-58.7121,9.1232,,,2.1972,1.2449,-0.0783
AMBC,118,0.011568006023511733,-39.1756,-1347.4496,-1.2446,,,-3.4547,,,-134.5475,132.6494,,,-1.3534,,,,2.1972,1.2446,-0.3344
ZS,45,0.010789721246248144,-2174.185,-99.757,-1.391,6.3957,-0.4595,-0.0844,-46.6,-98.933,-100.8441,34.0653,25147.1367,-1445.5094,-1.8353,77.9899,,,2.3026,1.391,0.1397
NBN,73,0.010673899941970936,-197.4599,-470.5211,-1.1088,,,9.4786,,,-5.2135,24.4994,,,18.7165,,,46.6231,2.1972,1.1088,-0.0009
BKKT,55,0.010461664646850432,-71.1166,-46.624,-3.1107,54.2153,-112.8021,-186.8041,393.029,-1180.5592,-1968.0412,1287.5498,94.1789,-156.7613,-132.8488,7.8993,,,2.1972,3.1107,-0.5971
ARCC,55,0.010006904669975608,-108.0698,-204.0818,-0.772,,,10.1909,,,1.9091,120.7827,,,11.0133,,,75.4034,2.3026,0.772,0.0321
GRVY,123,0.009827519181524543,-131.8654,-28.738,-0.9536,164.3137,110.9332,22.0703,290.7722,188.5313,120.7031,58.6108,999999.0,999999.0,29.1031,33.8518,22.8544,18.9917,2.1972,0.9536,-0.0042
PRCT,79,0.009446295591929176,-1503.8598,-94.5095,-1.5318,1.769,-2.7182,-2.0065,-81.6614,-115.8091,-120.0652,81.5541,94.8978,-116.6518,-30.1752,52.1686,,,2.1972,1.5318,-0.3057
NTRA,78,0.009213635328071262,-2509.3469,-96.6534,-1.3094,2.6365,-2.3877,-1.8101,-76.7893,-115.9041,-118.101,31.9851,197.3352,-142.9717,-45.4216,45.5157,,,2.3026,1.3094,-0.1083
EDU,102,0.00917441673257805,-2504.8325,-98.1082,-0.7915,2.3342,0.3615,0.3895,-77.7279,-92.8111,-96.1046,43.8936,999999.0,999999.0,9.7573,52.4535,8.1238,9.1588,2.3026,0.7915,-0.2107
SPT,33,0.00909674403395581,-1196.9287,-102.6726,-1.9699,15.2612,-4.1078,-3.049,21.585,-129.829,-130.4903,31.4445,245.6173,-52.8898,-36.4947,77.1408,,,2.1972,1.9699,-0.2656
HUBS,33,0.00888396103156772,-2636.7895,-99.3657,-1.4434,5.3482,-0.3039,-0.3424,-55.6986,-99.7177,-103.4237,25.3766,455.3238,-20.6971,-9.0276,84.4089,,,2.3026,1.4434,-0.1497
FRSH,33,0.008678114176768498,-439.9531,-78.4021,-1.5839,13.9685,-4.821,-2.0989,8.7904,-103.6831,-120.9891,19.7657,999999.0,999999.0,-9.2342,82.6688,,,2.1972,1.5839,-0.0824
MPWR,132,0.008629457053535053,-1383.0714,-94.8849,-2.0742,3.7481,1.7683,1.4273,-67.2778,-82.4974,-85.7269,1.5007,108.4609,40.9351,19.7407,56.0724,26.4534,22.2217,2.3026,2.0742,-0.0033
OSBC,73,0.008360320808099347,-134.4008,-763.1929,-1.0805,,,12.8277,,,28.2771,14.7242,,,17.2405,,,35.4203,2.1972,1.0805,-0.0397
SNOW,33,0.007639131764955365,-1013.4138,-95.8433,-1.6917,3.9124,-2.2449,-1.2915,-63.6908,-109.3574,-112.9154,35.8641,141.9226,-65.1483,-13.0886,67.9828,,,2.3026,1.6917,-0.0229
GSL,75,0.007060613422437827,-63.5543,-188.4716,-1.0801,26.889,25.5729,32.4098,211.6734,192.3123,224.0984,10.2943,20.4969,15.5949,20.5978,55.8237,53.0914,36.5911,2.1972,1.0801,0.0409
RDW,83,0.006859910778182739,-2102.9508,-109.2452,-1.6839,4.582,-1.2279,-1.9984,-72.1415,-125.0752,-119.9841,51.854,52.3342,-11.2199,-42.0256,23.7773,,,2.1972,1.6839,-0.4595
TENB,33,0.006552969749708497,-1318.1281,-108.6123,-1.1601,13.8215,-1.0709,-1.1811,10.306,-105.8397,-111.8111,16.9087,265.5407,-16.4594,-15.5686,77.0158,,,2.1972,1.1601,-0.0978
GRMN,66,0.006484314027828003,-552.8692,-91.7684,-1.4369,8.1658,2.9679,2.477,-32.9137,-72.3858,-75.2297,7.5709,59.575,17.3222,13.6948,57.4753,20.8896,18.3672,2.3026,1.4369,0.0699
GRND,34,0.006386501073458606,999999.0,-112.4278,-0.5144,5.5645,1.605,-1.3177,-61.0115,-95.8432,-113.1767,33.1646,65.2296,15.052,999999.0,74.0237,21.3515,,2.1972,0.5144,0.0418
PNRG,95,0.006345318739310712,-232.8416,-125.5642,-1.1737,11.3834,6.8936,7.3054,-8.6695,-43.5271,-26.946,-10.1907,27.6211,13.3816,17.01,33.6252,20.363,22.2356,2.1972,1.1737,0.093
EXR,124,0.006322584773584951,-195.9541,-136.7915,-1.071,4.4829,2.9348,2.3096,-89.4917,-106.773,-76.9036,33.0571,7.1751,3.7578,4.5258,73.7951,48.3107,27.2478,2.3026,1.071,0.0091
PLUS,130,0.006207068634770742,-220.4039,-72.3727,-1.557,29.3627,8.638,6.4841,127.3179,-29.1592,-35.1594,7.6212,69.7161,16.4074,14.2911,24.7514,7.2814,5.7913,2.3026,1.557,-0.1609
ACT,137,0.006115397385017522,-109.3052,-130.7724,-0.871,999999.0,999999.0,13.4536,,,34.5357,5.3717,999999.0,999999.0,14.7054,,,59.0462,2.3026,0.871,0.1017
GLAD,140,0.005911821538119186,-145.9225,-152.1151,-0.9712,,,5.7236,,,-42.7638,124.2261,,,8.352,,,75.8846,2.0794,0.9712,-0.0341
WTFC,73,0.005793150176329824,-138.9441,-777.9287,-1.1917,,,9.0114,,,-9.8859,16.1292,,,12.5208,,,29.7568,2.3026,1.1917,-0.0725
TNGX,19,0.005698897406154433,-126.3866,-35.6426,-1.1656,999999.0,999999.0,-25.4109,,-280.2153,-354.1087,46.9308,999999.0,999999.0,-32.1159,,,,2.0794,1.1656,-0.5623
FIGS,7,0.005561535691249518,-265.2978,-70.9365,-1.5903,50.0562,4.5208,3.2653,226.3134,-48.0828,-67.347,7.8704,289.6262,20.9258,8.6628,69.0856,6.2394,5.9829,2.1972,1.5903,-0.2105
STEL,73,0.005495502516846008,-95.9036,-725.629,-1.0725,,,8.8782,,,-11.2181,49.1442,,,8.5145,,,28.0731,2.1972,1.0725,0.0011
ARHS,105,0.005483016961245433,-388.401,-118.7681,-1.5854,49.2014,14.9593,10.2121,244.0427,16.3527,2.1207,4.7827,461.348,112.2151,39.6638,41.968,12.76,10.48,2.3026,1.5854,-0.0637
DTIL,14,0.0054085995919900265,-103.5435,-121.2091,-1.8861,999999.0,999999.0,-174.2077,,-1408.9131,-1842.0768,94.1469,999999.0,999999.0,-180.3807,,,,2.0794,1.8861,0.0
TREX,59,0.004998790837941175,-1034.3292,-100.5845,-1.6534,6.1002,3.7243,2.9808,-51.2229,-70.2392,-70.192,-1.0132,62.8158,30.6803,30.8313,41.3219,25.2279,20.1819,2.3026,1.6534,-0.121
DEO,13,0.004984653952343838,-2285.2501,-106.6266,-1.015,4.0938,2.014,1.5836,-72.6462,-90.6196,-84.1641,,37.922,14.9251,36.1889,60.1806,29.6068,21.5502,2.3979,1.015,-0.1429
INDV,19,0.004946493756945469,999999.0,-137.1503,-0.652,59.8082,15.8143,-6.9847,340.7647,23.8735,-169.8473,21.3097,999999.0,999999.0,999999.0,84.0805,22.2324,,2.3026,0.652,-0.2384
FRPT,107,0.00481808034912714,-730.5366,-101.1601,-1.2259,3.5527,-0.4312,-0.362,-72.5674,-104.878,-103.6195,28.8154,23.9004,-2.3205,-2.6442,32.7127,,,2.1972,1.2259,-0.406
FTHY,71,0.0048110297994520745,-87.0836,-128.5749,-0.6391,,,8.8196,,,-11.8038,,,,7.6804,,,78.6395,2.0794,0.6391,0.0161
OFLX,67,0.004684933627072078,-508.9223,-84.6298,-1.1138,19.2522,7.2652,5.4912,47.7996,-37.0576,-45.0878,-11.1741,210.3797,63.513,27.946,61.3332,23.1454,19.7694,2.1972,1.1138,-0.1463
REVG,9,0.004661531270367913,-378.8741,-97.4295,-1.3612,15.6835,4.3959,2.4677,27.2052,-69.2547,-75.3232,13.1412,50.4388,11.31,9.3494,11.9826,3.3586,1.765,2.3026,1.3612,0.0298
TRUP,78,0.004656404521165585,-664.2908,-95.0493,-2.0851,7.0086,1.9757,-1.7857,-40.7034,-78.0088,-117.8569,19.4928,84.2633,19.0023,-11.8622,18.3777,5.1805,,2.1972,2.0851,-0.227
PRI,72,0.0044757558443428635,-455.0813,-237.8643,-1.1108,,,6.5667,,,-34.333,3.4264,,,29.8838,,,22.4628,2.3026,1.1108,0.0734
PACB,18,0.004407204667215194,-68.7204,-159.2652,-3.0517,7.1012,-41.7575,-52.8131,-66.6093,-669.4156,-628.1314,56.2859,5.4829,-25.7933,-36.2934,26.3214,,,2.1972,3.0517,-0.2944
PXLW,132,0.0043386268921539635,-65.9032,-13.8616,-2.0148,53.816,-59.9431,-49.6413,368.5377,-646.1897,-596.4126,-14.9246,147.1777,-131.1472,-32.7152,43.0802,,,2.0794,2.0148,-0.1733
IHRT,22,0.0042856170330460505,999999.0,-2086.2693,-2.3505,43.6484,3.3068,-318.3025,4408.9969,-1301.2745,-3283.025,-4.1218,50.3297,3.0504,999999.0,60.1646,4.5581,,2.3026,2.3505,-0.2426
MNDY,33,0.0041998212571691665,-1389.4612,-93.6821,-1.6262,6.3712,-0.3788,0.0235,-44.189,-92.8566,-99.7646,40.5885,999999.0,999999.0,0.3271,88.9481,,0.3646,2.1972,1.6262,0.1539
BCPC,74,0.004197850412837209,-485.2972,-104.3362,-0.99,5.6353,2.97,2.1468,-57.5495,-79.8938,-78.5318,-2.1137,23.2511,9.8032,10.4185,32.7454,17.2578,11.9042,2.1972,0.99,0.0553
IBKR,70,0.004158094641966432,-138.3183,-98.196,-1.0904,18.3057,17.3709,12.6184,89.6364,75.2047,26.1844,89.3713,31.7096,24.0723,17.4536,90.5665,85.942,32.3478,2.3026,1.0904,-0.0437
SEVN,124,0.004152110537119274,-65.0211,-360.9749,-1.1012,,,11.7604,,,17.6039,-3.337,,,7.6467,,,62.922,2.0794,1.1012,0.0275
GAM,71,0.004147600305398312,-84.0451,-101.7826,-0.9343,,,18.2876,,,82.8755,,,,15.3698,,,78.2382,2.1972,0.9343,0.0102
SMR,81,0.004122237332329477,-1052.9105,-94.2665,,0.3013,-21.5718,-10.5809,-91.5425,-255.6848,-205.8089,93.2396,42.4226,-2429.7586,-111.4073,16.8742,,,2.0794,,-0.1468
OTLY,107,0.0041090209999111085,-2551.9215,-103.4754,-1.6883,1.7351,-2.7747,-3.8107,-88.0924,-124.9976,-138.1068,8.4612,28.6779,-36.6893,-97.2455,19.4145,,,2.1972,1.6883,-0.309
CSPI,45,0.0039090196866617705,-337.8123,-78.7759,-1.6751,16.5259,1.4098,2.4299,27.4029,-75.4878,-75.7014,18.9217,95.7414,6.5342,8.2084,33.9072,2.8926,5.8595,2.0794,1.6751,-0.0568
LASE,66,0.0038976755045499003,-368.0308,-84.1243,,6.4305,-7.4302,-5.1782,-42.6822,-140.1544,-151.7818,16.0721,37.4965,-34.6603,-19.0573,64.0974,,,1.9459,,-0.4314
MKC,107,0.003835870665211534,-395.448,-128.3734,-0.8095,10.2687,4.2027,3.1785,-21.64,-80.4702,-68.2151,4.9083,26.827,8.7836,12.5693,37.5627,15.3733,9.5908,2.3026,0.8095,0.0713
TSM,132,0.003762742268639392,-4607.9092,-99.9108,-1.491,0.7419,0.5818,0.4923,-93.6138,-94.8889,-95.0773,-4.5124,44.0671,27.6432,22.6834,54.3596,42.6245,36.2419,2.3979,1.491,-0.1514
