Ticker,Industry,Score,BAB_1,UMD_12,UMD_6,UMD_3,STR_1,STR_0,Beta,Performance
CGEM,14,0.004502074781095277,-1.2871,80.6452,5.8887,-16.5957,15.8673,-0.918,1.2871,-0.2486
SVRA,19,0.0044252648769574935,-1.0543,11.1979,-17.2481,4.401,8.6651,6.0241,1.0543,-0.2128
IHS,139,0.004347348860211013,,-56.7105,17.9211,-9.863,5.7751,-0.6494,,0.0258
WK,33,0.004268801103881438,-1.3185,-29.181,-8.5731,1.559,0.7164,-0.1161,1.3185,0.4028
ETV,70,0.0041928125748693324,-0.9069,16.7437,8.9959,6.7851,-1.3903,-0.883,0.9069,0.0585
SSTK,45,0.004113959241986122,-1.3189,-12.3849,-27.1488,-10.9135,10.3679,7.9828,1.3189,-0.0843
VTMX,123,0.004036299356362091,,-23.7503,-22.2445,-20.563,3.7791,2.79,,-0.0175
GNL,124,0.003958827464414476,-1.3672,-8.127,27.115,19.5849,2.5522,2.439,1.3672,-0.099
SFBC,131,0.00388256164946581,-0.6937,51.6537,40.6647,40.5794,4.2934,-0.3376,0.6937,0.0314
SSBI,73,0.0038040192607756364,-1.0088,-43.4555,-19.314,-6.041,9.2996,7.168,1.0088,-0.0534
MTG,118,0.0037262164696461545,-1.0759,46.5218,29.7253,21.7712,-0.0393,-1.2336,1.0759,-0.0647
RWAY,55,0.0036491999113914516,,-7.4331,-13.5075,-7.6406,4.3437,-0.297,,0.1395
MSA,67,0.003570798375874017,-1.005,-0.1866,0.3372,1.751,4.9773,2.7515,1.005,-0.0463
SRL,30,0.0034924454964290305,-1.1413,36.2153,12.0805,27.6759,4.7904,-2.5806,1.1413,0.0755
ICCM,79,0.003414965016258375,-1.1745,-41.6364,-49.4488,-40.0,6.5421,0.8264,1.1745,1.05
PLD,124,0.0033373926547309238,-1.2806,5.6474,-3.5098,16.6822,2.1249,0.965,1.2806,-0.1531
CARS,45,0.003259287886523639,-1.3046,-4.8026,-4.086,-11.8141,9.6973,5.8445,1.3046,0.0453
IKT,14,0.0031813069529147593,-1.2186,-28.934,-34.8837,-23.913,14.2857,-6.1947,1.2186,1.7417
ITRG,114,0.003104248369200987,-1.1864,8.6266,34.5992,5.0494,-4.4932,0.9901,1.1864,-0.1
OGE,46,0.0030275110229181588,-0.907,22.9652,23.4043,10.2785,-4.1962,-1.3025,0.907,0.0122
SHMD,66,0.0029482801555389946,,,,-19.5745,10.4497,5.5788,,-0.0871
NNI,55,0.0028717956250719308,-1.0672,26.0929,35.8763,11.7713,3.5214,-0.6226,1.0672,-0.0497
PPL,46,0.0027944510409011573,-0.8861,33.8447,24.3874,9.7935,-4.4345,-0.9774,0.8861,-0.019
LCNB,73,0.0027160736597610265,-1.0867,11.585,17.1853,15.2738,8.2383,4.4224,1.0867,0.0449
CDLX,34,0.0026333157165317816,-3.4962,-77.2938,-53.3969,-55.3653,21.4834,7.5301,3.4962,0.215
FHB,73,0.0025607033064052034,-1.0712,32.2827,19.6328,21.0108,8.2203,1.63,1.0712,0.1561
ZEUS,81,0.0024828112861642756,-1.0671,-27.0486,-40.1098,-22.5815,4.4638,-0.6833,1.0671,-0.1623
BE,66,0.002402877415895391,-2.1602,-21.438,31.1674,-27.0221,9.9076,-5.4027,2.1602,1.178
WABC,73,0.002327725543994078,-1.0069,18.8771,14.4374,7.0127,7.8007,2.5908,1.0069,0.0889
JPM,73,0.0022499459284370674,-1.049,56.9638,22.7072,11.5559,7.7891,1.3797,1.049,0.1649
ELV,78,0.002172366999444937,-0.9102,27.4883,12.2777,3.7326,9.0163,2.9453,0.9102,-0.2729
