Ticker,Industry,Score,BAB_1,UMD_12,UMD_6,UMD_3,STR_1,STR_0,Beta,Performance
OKLO,46,0.009936560463701694,-1.1733,1132.6633,120.3953,40.3318,-75.0238,-8.1172,1.1733,0.3277
HOOD,70,0.009905514007852813,-1.672,401.1928,101.2774,48.3377,-44.4863,-18.7933,1.672,-0.0738
SRAD,34,0.00989483981708901,-1.0236,165.0043,42.6192,28.3632,13.7573,9.3452,1.0236,-0.0056
BE,66,0.009885592414255651,-1.7816,331.1503,113.7802,180.9081,-71.3729,-28.1118,1.7816,0.249
IHS,139,0.009742545482812979,-0.9243,118.2371,96.7123,24.0069,5.4318,-1.1922,0.9243,-0.0398
RGTI,45,0.00962716428949814,-1.9898,1594.3232,83.4515,26.5905,-128.0928,-10.2804,1.9898,0.5511
SNWV,79,0.009612366758884744,,,47.2222,51.5151,8.0,-4.9957,,-0.0881
INSM,19,0.009520464144319861,-0.7941,90.0092,78.1729,102.7065,-5.1617,-12.6927,0.7941,0.0562
ETHZ,19,0.009459832487772152,-1.8188,47.5138,128.2051,151.8868,3.3708,-10.7296,1.8188,-0.2326
IVA,19,0.009082109452568557,-0.6438,132.2296,65.9306,55.1622,-19.7719,-4.8253,0.6438,-0.2127
PLTR,33,0.008871319004000172,-1.5169,399.0152,84.9859,18.9715,-19.0719,-4.4272,1.5169,-0.0526
TDTH,123,0.008677163732014215,,,18.9655,107.2072,-43.1884,-2.9167,,-0.1609
OVID,19,0.008428740264797837,-0.8689,8.8496,132.0755,324.1379,-33.3333,-16.3121,0.8689,-0.0366
MIRM,19,0.008393696213534562,-0.6847,72.4426,56.275,61.7141,3.484,2.4738,0.6847,0.0059
ECG,63,0.00796900823010389,,,83.2692,32.4071,-7.0567,-2.9516,,0.0638
APYX,79,0.007892946528433337,-1.194,44.3609,32.4138,18.5185,-8.8542,-2.2005,1.194,0.4354
ITRG,114,0.007778752420334943,-0.8976,157.0533,125.6881,47.3054,-26.4228,-13.5036,0.8976,0.0289
NTRA,78,0.007454386788774944,-1.0114,43.193,8.8373,5.383,5.3915,2.108,1.0114,0.0871
INTR,30,0.007453716764823226,-0.7676,15.4616,55.9701,19.5994,-5.323,2.0578,0.7676,-0.0097
