Ticker,Industry,Score,BAB_1,UMD_12,UMD_6,UMD_3,STR_1,STR_0,Beta,Performance
VELO,66,0.008785747322324539,,-52.9717,-48.8718,-36.8987,62.7884,38.4743,,0.5013
PROP,55,0.008785093470163293,-1.419,356.1666,551.6668,43.6745,52.5466,11.1628,1.419,0.1545
ETHZ,19,0.008784800615500622,-1.1782,-96.5739,-76.2185,-57.8241,27.2085,-8.9947,1.1782,-0.4635
AHCO,80,0.008780803433767461,-1.3712,-61.3736,-15.9048,-25.106,17.7803,-2.5424,1.3712,0.4862
RGNX,14,0.008700333050352897,-1.4522,-18.92,-0.2535,8.4942,6.7616,2.1867,1.4522,0.1063
CRDL,14,0.008620294770004809,-1.7274,77.8203,39.2216,-7.0,5.3763,-5.5156,1.7274,1.0568
RGTI,45,0.008534461385872763,,1.6949,36.6743,-34.7826,23.0,12.0,,0.4827
VCEL,14,0.008455104078078805,-1.5298,49.3501,8.1688,5.1358,2.0775,3.9383,1.5298,0.4696
MIRM,19,0.008367945441134754,-0.9904,69.4018,21.5344,21.0287,6.1875,0.7603,0.9904,-0.1602
UTHR,19,0.008284579556950361,-0.7789,-13.5775,10.8231,5.5602,5.5581,-5.1232,0.7789,0.0054
SSBI,73,0.008203620778561396,-0.9589,-17.3568,-10.0973,-14.5835,11.7865,3.0155,0.9589,-0.092
AGEN,14,0.008128398305121392,-1.6722,-73.2384,-51.25,-43.8849,-2.5641,2.439,1.6722,-0.3625
OGI,19,0.008045018518886865,-1.6855,-71.8487,-14.7583,-12.987,2.6119,5.4348,1.6855,0.5632
SGRY,64,0.007962247915931185,-1.6615,16.6096,-14.4042,-8.8841,7.1072,2.1046,1.6615,-0.1141
TEO,139,0.00787697038590206,-1.0806,83.1793,58.1888,44.5423,14.3727,7.3781,1.0806,0.0982
ELTX,19,0.007795760117147136,,-35.9783,-67.5393,-25.443,-0.6791,16.4789,,0.2513
PLTR,33,0.007720931345208894,-1.9558,164.6214,39.6005,33.531,18.2042,6.2217,1.9558,0.3703
