Ticker,Industry,Score,BAB_1,UMD_12,UMD_6,UMD_3,STR_1,STR_0,Beta,Performance
RGTI,45,0.009645237558714107,-1.8964,1067.6191,305.9603,44.9173,-6.6884,-17.9441,1.8964,1.7064
TOI,80,0.009633255051363485,-1.0019,557.8948,1983.3333,281.4554,24.9231,-13.4884,1.0019,0.4098
DFDV,55,0.009629563250816523,,1659.8213,3349.2472,3483.6361,-3.45,-8.1124,,-0.2045
OKLO,46,0.009627365824043742,-1.1089,420.7547,135.8974,57.053,2.1167,7.63,1.1089,1.5093
SPRO,19,0.009569025162270475,-0.97,92.9578,142.4779,253.0928,-5.8394,-0.0,0.97,-0.3
PLTR,33,0.00948969872193509,-1.4871,509.0406,98.8854,55.4875,-0.0606,7.5437,1.4871,0.4158
IONQ,45,0.009348510542508204,-2.1384,397.7914,26.544,65.1201,-10.3032,-17.4232,2.1384,0.5553
HOOD,70,0.009249431126096197,-1.6102,225.2632,80.7018,35.6886,-44.1306,-18.4048,1.6102,0.487
SRAD,34,0.008918363367777259,-0.9963,135.6232,38.9468,11.106,-15.8684,-3.6127,0.9963,-0.0446
SATL,121,0.008829293231495793,-1.116,231.25,106.1111,21.2418,4.5822,-2.3121,1.116,-0.0085
IHS,139,0.008702512214770343,-0.9435,58.6301,78.1538,58.6301,-0.1727,-2.2928,0.9435,0.1707
DUOT,33,0.008358940158493427,-0.9677,231.25,56.4961,31.6225,1.3836,-4.2553,0.9677,-0.0319
PRA,118,0.008015957633611091,-0.7667,61.3779,38.8623,48.2737,0.9487,-0.5252,0.7667,0.0448
ECG,63,0.007996040941372715,,,-8.4579,38.4135,-11.2365,-3.7415,,0.2743
ESE,139,0.00737577865978494,-0.9918,64.9864,20.8811,8.9827,-7.5674,-1.5032,0.9918,0.0928
BEDU,102,0.007272013791962375,-0.5627,-21.3043,-1.6304,9.697,2.2099,-7.2727,0.5627,0.2429
AR,95,0.006717782224553225,-0.8597,8.476,21.5791,5.3134,3.7516,9.4009,0.8597,-0.0997
FRHC,70,0.00663671083304994,-1.024,110.6244,34.4103,9.1861,13.1087,2.522,1.024,0.2375
EPR,124,0.006359940763806649,-0.6699,46.7295,28.1467,7.3542,-5.917,-3.1544,0.6699,0.0018
DOMO,33,0.006349013192048553,-1.3193,98.3484,38.6149,73.8158,-10.0681,-14.5784,1.3193,0.0591
BBIO,19,0.0063347922070479,-0.8141,26.5976,33.3083,1.6046,-20.784,3.4926,0.8141,0.244
NL,74,0.00621609641419426,-0.9024,8.7627,-10.5657,5.5767,7.6127,-8.2919,0.9024,-0.0129
MMM,79,0.0061607374248726435,-0.9336,49.2213,11.2519,-5.1592,-5.1708,-4.2098,0.9336,0.0361
