Ticker,Industry,Score,BAB_1,UMD_12,UMD_6,UMD_3,STR_1,STR_0,Beta,Performance
DUOT,33,0.009088142908594011,-0.7092,-16.3701,14.6341,72.9213,40.4255,-4.0892,0.7092,1.1214
SATL,121,0.009070593388977975,,-51.7073,-33.557,-32.1918,28.6195,10.9244,,-0.0755
GRRR,33,0.009065671722210605,,-22.5672,-33.0293,-17.2128,38.3192,42.5837,,-0.5625
QVCGA,27,0.009054707266299793,-1.5448,-70.61,-44.7917,-32.0513,37.7358,-17.8571,1.5448,0.0
ETHZ,19,0.008983175500394574,-1.0062,-95.6189,-83.8729,-67.4334,33.0855,7.6923,1.0062,-0.35
TOI,80,0.008900508170522717,,-77.1529,-78.3333,-11.5646,47.8462,5.8333,,-0.1888
ARBE,45,0.008805942913455357,,-35.5956,-36.3014,38.806,31.3978,3.0395,,-0.094
BEAT,79,0.008712574601584944,,79.0055,174.5763,-30.4721,29.9383,9.7416,,0.0617
CDLX,34,0.008548790879591723,-2.0125,-92.0705,-59.0564,3.6247,30.144,-27.1536,2.0125,0.8616
IVA,19,0.008538478886875285,,-58.2231,16.2069,15.411,27.9921,9.6774,,0.1099
INBK,73,0.008444334020316118,-1.1497,-45.1135,-25.9111,1.2071,36.9528,1.9512,1.1497,-0.1045
IVVD,14,0.008337911707352666,,-71.1475,-63.1799,-24.1379,31.8182,8.3969,,-0.125
MAIA,19,0.008269540574137995,,,9.3458,26.8293,26.0684,2.2599,,-0.3642
CNTY,65,0.008161976784169649,-1.171,-23.2026,26.8556,26.5141,22.0213,-2.3743,1.171,-0.0314
SVRA,19,0.00810106904216472,-0.6784,130.6306,76.5517,58.0247,23.8281,2.5,0.6784,0.6385
ACET,19,0.008000348275468675,-0.9313,-39.9841,-47.2397,-60.7996,23.7086,2.2071,0.9313,-0.5781
GEO,63,0.007910397096166616,-0.8692,47.5,7.0133,-22.5722,10.8475,-3.0026,0.8692,-0.0925
BAER,123,0.007815186656444314,,-38.1781,-38.9899,-39.7807,24.6689,8.8176,,0.2308
IDYA,19,0.007731120944256999,-0.9379,33.9244,85.1812,-3.3927,20.9557,1.0807,0.9379,0.7116
VELO,66,0.007636033118432924,,-63.6247,-28.3544,33.4906,19.788,-6.0748,,-0.0485
GAME,133,0.007574502089112025,-0.6084,-41.4966,143.9716,192.517,21.5116,0.7353,0.6084,-0.4426
MHLA,118,0.0074787004752375754,-0.7018,-4.6867,7.963,3.3077,17.6672,2.6369,0.7018,0.2965
LSF,107,0.0073945369638695356,,-80.1802,-54.3568,-15.3846,26.3636,-1.25,,-0.0185
SLNHP,45,0.007281959141277391,,-80.5868,-57.904,39.5833,16.4179,-0.0,,-0.345
CELU,19,0.0071930472607317055,-0.9424,-89.7079,-73.1884,-57.7143,16.2162,-5.2632,0.9424,-0.1403
AGEN,14,0.007086465841638415,-1.1348,-36.8078,-24.5136,-34.6801,21.6495,-2.0134,1.1348,0.0726
AUDC,139,0.007022866432629621,-0.8108,-42.1069,-26.564,-16.5995,6.4516,-3.8567,0.8108,-0.3946
AFCG,123,0.00691872561398669,,-10.3105,-0.5225,-8.2402,17.6136,-3.6712,,0.0615
INSM,19,0.006827942411803828,-1.0913,-15.7341,-18.4114,-1.6691,14.8777,-3.5844,1.0913,0.2375
OMF,55,0.006742468099476205,-1.1333,-1.7095,30.2627,11.9773,14.2857,-7.979,1.1333,0.2117
