Ticker,Industry,Score,BAB_1,UMD_12,UMD_6,UMD_3,STR_1,STR_0,Beta,Performance
MSI,121,0.008267842309313562,-0.962,54.3218,36.7755,12.6163,7.3288,2.5631,0.962,-0.0459
INTR,30,0.008238109543188439,,-7.9203,-25.0,-37.9592,9.8684,4.4186,,0.3634
DOMO,33,0.008214267475583693,-1.7676,-6.3851,43.0931,27.577,25.6034,4.4474,1.7676,0.141
VELO,66,0.008201347244536123,-2.2733,-96.0453,-73.7143,11.2903,47.8986,-14.127,2.2733,-0.4437
IVVD,14,0.008174821963010273,-1.207,-54.5455,-61.9565,-17.6471,31.4286,9.434,1.207,0.2063
VTOL,143,0.008113406808232066,-1.1665,44.2542,5.5695,-4.7727,6.8847,-4.4379,1.1665,-0.0652
PLG,114,0.008011639481352492,-1.7385,48.7395,-6.3492,38.2813,23.7288,3.5714,1.7385,-0.1037
SLNHP,45,0.007983724710760174,-0.7102,282.0513,298.6622,100.3361,26.1745,-6.6667,0.7102,-0.3659
CNCK,55,0.00785960204757378,-0.4737,8.5938,4.6096,6.0057,23.5612,-1.0702,0.4737,-0.3471
ETHZ,19,0.007847843875402223,-1.9277,-55.7374,46.9136,31.4917,27.7311,39.2226,1.9277,-0.4186
BAER,123,0.007775502946599752,-0.4138,-52.901,-34.5972,2.6022,26.8116,4.2654,0.4138,-0.4505
ROOT,118,0.0076289362307156335,-2.026,840.9478,95.2596,128.9437,26.03,3.4832,2.026,0.7046
ZEUS,81,0.0075898133497415525,-1.1146,-24.3884,-17.0164,7.1883,25.3327,4.3374,1.1146,-0.0052
PROP,55,0.007468878602350857,-0.8277,-46.9255,-32.2363,-2.0069,21.9427,8.1267,0.8277,-0.2609
API,33,0.007449680307363214,-2.1101,86.7159,105.6911,166.3158,13.6364,3.9561,2.1101,-0.0778
BEAT,79,0.007378651563704227,-0.9058,100.0,5.7554,25.1064,20.068,-0.0,0.9058,-0.166
ATOS,19,0.007276147165572768,-1.4158,67.1053,-2.3077,-7.2993,24.4094,9.434,1.4158,-0.2812
RGNX,14,0.007174895458044286,-1.8056,-49.1612,-30.3136,-18.1669,21.4,0.1271,1.8056,-0.1031
UEC,103,0.007098652941669919,-1.7051,23.8532,13.4454,54.8757,5.9259,-5.3942,1.7051,-0.3819
APYX,79,0.0070472973221163936,-1.5677,-18.4549,15.1515,42.8571,17.1053,1.5625,1.5677,-0.219
LYFT,123,0.006949747497108572,-2.0155,30.6697,9.9936,47.1294,20.5009,0.8715,2.0155,-0.0513
CLNE,92,0.006901189773585175,-1.689,-17.7112,-3.5144,-2.2654,12.9139,0.3788,1.689,-0.403
NRIM,131,0.006846809848222358,-1.311,77.8018,53.6828,28.6972,11.8137,3.596,1.311,-0.0223
SA,114,0.006760646617217834,-1.3796,10.9091,-11.4827,-20.148,14.1839,-1.7751,1.3796,-0.0673
UHG,63,0.006703678679342802,-0.8454,-22.5765,9.3694,-0.3284,32.0428,7.7181,0.8454,-0.2945
GPMT,124,0.006615208382267362,-1.4104,-32.0273,13.8406,34.0536,18.124,5.2967,1.4104,-0.0718
KLC,102,0.006506902440123049,,,,,22.4199,2.4608,,-0.2672
PCTY,33,0.006442675341992652,-1.3461,31.0108,47.3307,29.777,6.87,2.7567,1.3461,-0.0244
THCH,127,0.006410556290537581,-0.9515,-54.1667,-21.4286,46.6667,18.2955,1.5069,0.9515,-0.1599
MKTX,70,0.006332831368528819,-1.0813,11.1012,33.237,8.9979,14.4874,2.1371,1.0813,-0.0605
XYZ,33,0.006190199555449033,-1.9224,42.6507,44.7878,40.4056,6.4992,5.1705,1.9224,-0.333
AGEN,14,0.006100522841302128,-2.4004,-76.0897,-76.2269,-27.5728,17.1582,-9.9644,2.4004,-0.4725
CSTM,81,0.006065853787735724,-1.7453,-30.1232,-42.4089,-25.5814,17.5481,0.5797,1.7453,0.001
IVA,19,0.006036061633865071,-0.8369,-39.5833,-28.8828,15.2318,18.0077,4.4643,0.8369,0.4486
BFIN,131,0.005972469970479848,-0.8819,54.0726,35.0644,14.0298,9.4564,3.3386,0.8819,0.0623
TDTH,123,0.00586924833261001,,,,,17.2285,-2.3148,,-0.8955
CARS,45,0.005790895412673639,-1.2836,8.0715,-1.3841,11.8274,15.589,5.1268,1.2836,-0.3088
NOG,95,0.005666708297068357,-0.966,19.3762,8.2732,10.245,11.8069,-5.7438,0.966,-0.1776
CDLX,34,0.005613398146228468,-3.1075,-51.8824,-53.3105,4.6036,8.802,3.1169,3.1075,-0.5121
CNTY,65,0.005528275806972949,-2.0634,-6.9124,51.3109,64.2276,22.2772,-2.6144,2.0634,-0.4713
INTC,132,0.005450174086207623,-1.838,-44.5576,-21.9391,8.5753,15.5036,1.0763,1.838,0.087
LB,95,0.005442313933645782,,,,96.5713,10.8749,-1.7268,,0.1521
DVN,95,0.005292554081377658,-0.9858,-12.8498,-21.9207,-15.0777,10.6177,-7.361,0.9858,0.1435
BE,66,0.005281070245142905,-2.4401,75.0325,64.951,126.0286,13.1872,3.9457,2.4401,-0.0963
OVID,19,0.00516988103401308,-1.7486,-64.3192,-62.7451,0.885,15.9649,4.008,1.7486,-0.6451
CCLD,33,0.005072273367090876,-1.8903,279.8077,53.1008,47.9401,3.5443,1.2953,1.8903,-0.6273
IOVA,14,0.005027371252556635,-1.4652,44.8882,2.1396,-22.2127,14.1125,-2.5,1.4652,-0.5456
WASH,73,0.004972799622563281,-1.3138,37.8775,46.0028,14.4595,17.0325,2.6504,1.3138,0.0185
NU,55,0.00490346673601878,-1.3892,44.5783,1.0101,-19.8397,11.4167,-2.6062,1.3892,-0.0038
OFLX,67,0.004833842987276225,-1.1138,-29.5906,-14.1368,6.9986,17.6018,4.228,1.1138,-0.1463
VERA,19,0.004764156438740909,-0.8998,258.0202,30.4291,31.0153,14.8335,0.5889,0.8998,-0.441
CRDL,14,0.004640733099115444,-1.7368,68.8172,-40.0763,-19.0722,12.7389,-3.7879,1.7368,-0.327
AGRO,52,0.004624518921490228,-1.0286,-0.5597,11.468,-0.3774,11.3889,-1.1628,1.0286,0.187
INBK,73,0.004517481369897081,-1.4653,84.5953,42.1986,15.1719,15.2475,5.5084,1.4653,-0.2274
SSTK,45,0.0044499779404732825,-1.2331,-25.4192,-17.1578,-7.0093,11.7398,4.9837,1.2331,-0.3684
PKBK,73,0.004381192073176253,-1.2035,29.1041,46.6349,14.7768,14.8371,4.1968,1.2035,-0.0305
PZZA,127,0.004314756240229395,-1.0732,-24.1815,8.7576,5.6076,12.6363,-6.3391,1.0732,-0.0207
SKM,139,0.004246490950161834,-0.8239,15.8833,19.2206,5.3229,11.5336,1.4432,0.8239,0.0248
ESE,139,0.004150547477747804,-1.2537,40.5483,36.4865,24.1207,11.5174,4.2077,1.2537,0.2209
GCT,27,0.00406250603715188,,100.339,-24.0848,21.6049,19.3739,-5.4204,,-0.2272
NUVB,19,0.003986021411050155,-1.541,124.0601,-3.871,-7.4534,13.0873,8.156,1.541,-0.3089
ACET,19,0.003906904977843896,-1.6314,-8.9431,-22.7586,-23.2877,13.0357,-1.4583,1.6314,-0.2567
CROX,134,0.003810495464862533,-1.7564,2.9279,-29.5297,-24.9641,-0.3191,2.5852,1.7564,0.0137
AGCO,66,0.003775783443016872,-1.1888,-10.5141,-4.8109,11.8408,10.0394,2.4778,1.1888,0.0164
OMF,55,0.003713161871167199,-1.3116,43.1966,21.1763,17.758,9.2294,2.3181,1.3116,-0.0059
ELV,78,0.0036394941462960413,-1.0217,-14.0,-23.3262,-26.0852,10.4933,2.0955,1.0217,0.1785
NHC,64,0.0035742812566819044,-0.9356,67.9999,21.7212,-6.6655,15.9266,4.1913,0.9356,-0.1138
SRL,30,0.0034848722679672976,-0.9924,25.5853,14.8318,-10.0599,-13.8482,-31.5385,0.9924,0.0015
HROW,19,0.003389391530868351,-1.532,349.624,133.2033,3.4602,12.6612,-4.2784,1.532,-0.2875
LCNB,73,0.003343924218199256,-1.0499,23.3176,28.3526,11.3459,13.8905,2.7344,1.0499,0.0198
LSF,107,0.003245896784241227,-1.5119,814.6586,234.9265,136.6234,12.2942,8.3716,1.5119,-0.3016
WTI,95,0.003190398030991584,-1.2357,-41.2614,-13.544,-16.1769,6.8063,-13.3758,1.2357,-0.1745
DSGR,67,0.003116272528683721,-1.1335,50.744,18.3643,6.1526,14.6798,4.3959,1.1335,-0.1516
JSM,70,0.003062819726577193,-0.8008,13.5363,9.5758,5.0194,7.5728,0.9135,0.8008,0.0231
GAB,71,0.0029940156803927856,-0.8823,26.0749,11.4899,6.2972,4.7741,1.4679,0.8823,0.053
SAIC,45,0.002885032987850165,-1.1851,4.9131,-7.1067,-4.5232,9.8183,-0.4388,1.1851,0.035
ACIU,19,0.0027955231889419153,-1.4673,-5.5882,-30.9677,-0.6192,11.215,-5.3604,1.4673,-0.3404
AIOT,139,0.0027134386392146242,-1.638,197.0085,30.8851,39.2786,9.3525,11.2676,1.638,-0.1048
EA,133,0.0026876772404635665,-0.7846,21.0984,25.198,9.4397,12.0873,2.1265,0.7846,-0.0056
HOPE,73,0.0025865032063629727,-1.2733,39.4313,32.9625,8.1703,12.5547,3.6203,1.2733,-0.1122
CNX,95,0.0025447460393451713,-0.7101,87.328,50.0761,42.6455,5.4472,-1.8559,0.7101,-0.1436
CNQ,95,0.0024544198431310253,-1.0266,3.5479,-10.5313,-6.1504,5.4463,-4.1169,1.0266,0.0161
PPL,46,0.0023911223471961046,-0.8625,34.8171,19.4486,8.7938,5.8292,1.3489,0.8625,0.1318
PLD,124,0.0022956283890881563,-1.2244,0.9099,6.5329,-8.6982,9.2123,2.4605,1.2244,0.0871
MMI,123,0.0022071994076658503,-1.3285,20.7111,29.6977,5.7002,10.2232,2.932,1.3285,-0.0706
LCII,10,0.0021161543190871997,-1.4871,10.8052,12.1717,3.6633,16.0235,2.6442,1.4871,-0.1059
MHLA,118,0.0020910754549258925,-0.8213,10.3774,15.613,9.4792,9.4328,-4.9827,0.8213,-0.0826
KRO,74,0.0019712515350013234,-1.4187,21.8287,-24.0144,-7.925,10.6161,4.4579,1.4187,-0.2078
VECO,66,0.0018821565452505234,-1.7488,1.3952,-28.4871,-18.0896,7.1207,2.9126,1.7488,-0.2407
OPCH,80,0.0018341871566277315,-1.2928,-20.2645,-19.1147,-24.6721,5.8872,1.9438,1.2928,0.5326
BRSP,124,0.0017669448421317295,-1.3503,3.3341,12.3289,10.2851,8.419,1.8005,1.3503,0.0127
MHD,70,0.001728585474427536,-0.6155,14.5141,10.5219,3.6882,5.4885,-1.6281,0.6155,0.0068
MTG,118,0.0016293070024926573,-1.1029,50.1219,25.3006,2.8984,9.0665,1.375,1.1029,0.0851
AFCG,123,0.0015497476654848194,-1.0409,43.1689,31.901,-3.6881,9.422,0.3336,1.0409,-0.3006
SLB,99,0.0014831151700290522,-1.0269,-14.7511,-3.6924,-0.1692,11.4291,-1.7758,1.0269,0.1063
SNWV,79,0.0013929624995580618,,,,,4.014,3.3179,,0.5341
MIRM,19,0.0013152326196709252,-1.2172,44.4062,92.3013,7.1909,9.024,-0.0238,1.2172,0.0704
BNL,124,0.0012655097947291934,-0.9266,12.6713,16.4737,-4.0975,7.5178,1.1081,0.9266,0.1108
RTX,3,0.0011828848362589299,-0.9144,47.5542,11.261,-3.2657,2.2497,0.88,0.9144,0.1536
SBRA,124,0.001114222915921298,-0.9673,35.3943,30.52,9.6079,7.1856,0.2924,0.9673,0.0368
APOS,71,0.0010638778772433903,,9.6578,6.0062,4.5647,1.5124,-0.075,,-0.0047
OCCIO,145,0.001005854737587356,-0.4225,13.2643,6.0082,3.2467,0.4472,-0.1304,0.4225,0.0205
AGM,53,0.0008757845356859495,-1.2602,29.9528,23.8337,8.6513,9.1622,3.0768,1.2602,-0.0016
OGE,46,0.0008221565552101417,-0.8956,26.2546,20.5035,9.2721,3.4829,0.1934,0.8956,0.1348
IDYA,19,0.0007242051420538746,-1.0952,-13.2153,-24.8974,-30.5063,8.3424,2.7069,1.0952,-0.3502
SLRC,54,0.0006759564596159075,-0.8159,22.5062,7.7816,8.4333,0.3535,0.0611,0.8159,0.0493
CCBG,73,0.0005826307469843479,-1.0462,46.3111,48.3294,15.7938,9.7482,3.8856,1.0462,0.0171
BILL,45,0.00048285152933350445,-1.465,31.4344,71.9885,64.0762,6.1104,5.53,1.465,-0.444
TERN,19,0.0004243284702745679,-1.1222,17.8161,2.3294,-19.2913,7.8049,3.5714,1.1222,-0.5608
NTRA,78,0.0003413118394126071,-1.3094,190.4892,59.4105,43.5989,5.4293,-0.6014,1.3094,-0.1083
MTH,63,0.00025311753090009355,-1.4907,31.9302,9.2422,-3.1723,20.0882,2.6201,1.4907,-0.0543
VCEL,14,0.00017820042067821375,-1.4234,64.9074,23.1447,13.727,6.1798,4.439,1.4234,-0.196
GMED,79,0.00012227694251436895,-1.2452,82.3517,25.0186,15.4058,2.4672,3.068,1.2452,-0.0774
WABC,73,6.0407315551704686e-05,-1.0418,12.194,18.1677,10.424,9.0829,2.8275,1.0418,-0.0192
ZK,9,2.7457853061307803e-20,,,-4.9206,48.084,-13.1887,16.0371,,-0.1309
BIPI,75,2.7457853061307803e-20,,11.9412,0.7718,-1.7204,3.5638,-3.405,,-0.0317
TOYO,88,2.7457853061307803e-20,,-66.2409,-66.8904,-28.1553,5.6757,9.5855,,-0.1628
SUUN,113,2.7457853061307803e-20,,,-56.6285,-35.6796,16.9811,-7.3171,,0.1182
KOS,95,-3.067082554945157e-05,-1.4734,-43.5364,-37.7049,-21.9713,2.1053,-18.8498,1.4734,-0.3871
AENT,44,-3.922508108391713e-05,-0.4747,391.9192,78.3883,263.4328,-80.9035,-12.9487,0.4747,-0.6129
UNMA,1,-5.175198711366611e-05,-0.6263,11.6054,4.7199,2.2765,3.4331,0.6571,0.6263,0.0516
SFBC,131,-6.315345475208803e-05,-0.6848,51.9741,37.5012,-2.1896,-0.9178,-2.5172,0.6848,-0.0585
BCAL,73,-6.832121664589081e-05,-0.6275,19.1078,28.5201,19.4259,9.0553,4.4066,0.6275,-0.1278
LNG,98,-6.939377100120838e-05,-0.8398,23.8298,41.7466,20.4374,0.8851,-4.9127,0.8398,0.066
OABI,15,-6.981519066315904e-05,-0.8449,-13.4783,-8.2949,-5.0119,12.0603,1.9608,0.8449,-0.3414
WLYB,21,-7.396328223765376e-05,-0.8951,75.8982,48.7477,13.9049,16.0429,0.5642,0.8951,0.0179
WMB,92,-7.578282360160543e-05,-0.909,58.8341,39.0336,24.6472,0.1504,-3.5582,0.909,0.1123
DEA,124,-7.718259792973174e-05,-0.9119,8.3764,7.3009,-5.0096,5.9836,-2.2282,0.9119,-0.0545
HQH,53,-7.931283300523917e-05,-0.9546,33.7576,14.1894,-3.2644,8.2533,1.9335,0.9546,0.0107
DVA,86,-8.040852412631088e-05,-0.9731,56.9744,11.2969,8.4946,8.5013,3.6775,0.9731,0.0298
NNI,55,-8.225120225601671e-05,-1.0908,29.8724,6.5427,-4.678,3.822,0.863,1.0908,0.0571
CHRW,68,-8.452356317829965e-05,-1.0229,30.2724,24.5517,3.2057,2.6335,1.4762,1.0229,0.0068
GOOD,123,-9.187444418361939e-05,-1.0341,46.5474,26.628,16.6904,7.2403,0.1854,1.0341,-0.0488
ITRG,114,-9.324447124149035e-05,-1.1278,-0.3257,0.7684,-4.0752,1.9608,-1.1236,1.1278,0.3556
BNT,118,-9.368737504306987e-05,-1.232,71.8481,42.4348,22.3927,6.8283,0.675,1.232,-0.0535
BBCP,50,-9.615805110038843e-05,-1.1637,-7.4338,-0.1395,10.3236,7.4022,1.0448,1.1637,-0.033
JBHT,144,-9.724052121245778e-05,-1.1768,0.6477,18.2937,9.5108,9.5329,0.4709,1.1768,-0.1053
SGML,82,-9.734794191060205e-05,-1.1781,-56.7802,-12.034,26.2911,8.5502,-10.2151,1.1781,-0.1935
CVS,129,-9.97359866616558e-05,-1.207,-10.1177,1.3637,4.3647,25.1523,1.5583,1.207,0.5589
WTS,81,-9.981200746341945e-05,-1.1604,10.2902,8.3853,9.4817,6.6723,3.0406,1.1604,0.0416
GOCO,137,-0.0001003309320667626,-1.2142,-9.1174,19.0067,47.2813,-11.557,-3.8864,1.2142,-0.1417
GAME,133,-0.00010070112031882906,-1.3272,-46.9231,-31.5267,-13.75,8.5842,-0.0,1.3272,-0.372
TDY,66,-0.00010299992325911679,-1.1442,17.3781,20.9472,10.9288,4.6053,3.8987,1.1442,0.091
SGI,62,-0.00010409891963243907,-1.2598,32.7862,9.8182,7.2986,0.5346,0.0179,1.2598,0.122
WYNN,65,-0.00010411544589369205,-1.26,14.1693,1.9557,25.4144,12.8536,6.1695,1.26,-0.0243
AHCO,80,-0.00010553670436144719,-1.2772,13.7033,5.9072,-8.6442,3.3865,0.9193,1.2772,0.1144
BEDU,102,-0.00010781732841435666,-1.0809,61.4035,-20.0,-3.1579,10.3261,5.1724,1.0809,0.0121
