Ticker,Industry,Score,BAB_1,UMD_12,UMD_6,UMD_3,STR_1,STR_0,Beta,Performance
GFR,95,0.00867330571286449,,3.2836,0.8746,-0.4794,49.0366,32.1795,,-0.0321
CELU,19,0.008658382244358312,-1.0957,-86.9565,-51.3514,-49.0806,36.9444,3.8136,1.0957,0.2335
TVTX,19,0.008643450827504626,-1.3796,-45.3911,-32.6235,-21.9423,43.3759,-4.5963,1.3796,0.1354
GRRR,33,0.008598990045274753,,-86.4028,-79.6967,-21.7822,46.0127,6.5717,,-0.347
NTRA,78,0.008562644589243232,-1.2777,31.2067,10.7137,28.0885,30.1344,3.3628,1.2777,0.4176
ACET,19,0.008473983514312968,-1.335,-86.1635,-73.7748,-62.9907,33.8384,6.4286,1.335,0.5344
UHG,63,0.008395308366055718,,-16.3286,-18.4783,-25.0,36.6061,14.5425,,0.6883
CCLD,33,0.008286858075799463,-1.2273,-58.6563,-54.2857,-45.5782,31.875,3.5398,1.2273,0.633
ROOT,118,0.00826995573617842,,5.6401,144.3064,136.9478,25.1695,10.8081,,0.1857
AHCO,80,0.008166372363301182,-1.0056,-32.9352,-23.9355,12.2857,23.9186,-1.9318,1.0056,-0.1906
IHS,139,0.008078416116786273,,19.1223,-0.1314,-8.6538,28.6842,-4.8356,,-0.1845
VERA,19,0.00800204838126104,,-3.4878,156.0774,99.1407,30.151,8.9311,,0.2054
APYX,79,0.007863985008093984,-1.6414,-22.5473,39.3189,-33.1352,32.8889,4.127,1.6414,-0.1159
RGTI,45,0.007822946153796771,,-49.4505,145.3333,109.5672,29.8913,11.6438,,-0.2837
MSA,67,0.007666146343708861,-1.0313,61.9979,37.7723,29.8614,16.0631,4.3601,1.0313,0.0845
XYZ,33,0.0076560902826258445,-1.8753,-12.3021,-25.4613,-8.336,25.7521,5.2643,1.8753,0.6721
THCH,127,0.007596479622862455,,-69.7236,-51.8,-18.3051,26.971,7.3684,,-0.0227
IKT,14,0.00745518535739728,,-64.6573,-54.3981,-53.8209,29.9492,-8.6614,,-0.0348
CRDF,14,0.007382290316619232,-1.2509,-34.1637,6.9364,13.4969,29.7297,19.2547,1.2509,0.1769
SATL,121,0.007326488651096764,,-65.3244,-47.8114,-22.5,23.2258,12.5,,0.3025
NUVB,19,0.007260448966986307,-0.9339,-44.0273,-12.766,-4.0936,23.1707,10.0,0.9339,0.246
BE,66,0.007136963194657987,-1.3879,-35.9527,-30.0738,5.1318,19.591,11.2163,1.3879,0.2108
EVH,102,0.0070754225795199915,-1.1556,-28.4499,-25.8037,-15.9523,-3.1825,-0.2982,1.1556,0.2367
IOVA,14,0.006970285497289197,-1.2143,-43.9891,-13.6236,-30.1136,27.9675,3.0635,1.2143,0.8284
INBK,73,0.006885619307501436,-1.493,-43.8869,-24.2625,52.7988,18.4682,5.5199,1.493,0.495
