Ticker,Industry,Score,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,HML_3,HML_5,PB,NCAV,IA_G,IE_G,Beta,Performance
VANI,16,0.007211829078284054,,-35.8176,-21.3904,,-303.3245,-313.9042,,,-20160.7477,-98.8469,,,,92.2153,90.5165,-462.1082,-99.5476,,53.1439,1.8621,-0.4628
ACET,19,0.007211638752010483,999999.0,999999.0,-111.7592,,-982.2108,-1217.5922,,,-1013.578,-67.0641,,,,81.9985,95.149,-60.0077,23.0037,69.8287,41.7883,1.714,-0.6932
CSTM,81,0.007211564748051597,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,,999999.0,999999.0,999999.0,,,,-51.0753,-166.3507,999999.0,999999.0,,,1.4701,-0.5418
FEAM,84,0.00721144167706622,,-24.5216,-59.8101,,-522.1658,-698.1007,,,-38.7686,-463.3888,,,,,,-774.7671,-184.4833,-4.2901,80.0134,,-0.8672
ENIC,46,0.007211295539262014,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,,999999.0,999999.0,999999.0,,,,4.3062,19.2498,999999.0,999999.0,,,1.015,0.3076
OKLO,46,0.007211287095605447,,-1.2191,-1.673,,-109.0597,-116.7305,,999999.0,999999.0,999999.0,,,,,,999999.0,-102.2781,,,,0.8016
DJT,34,0.007084473935593331,0.0559,-0.225,-0.6599,-100.1566,-102.4173,-106.5994,180.9317,999999.0,999999.0,999999.0,96.0083,,,,,999999.0,-100.9473,,,,-0.6364
ATOS,19,0.006524000306089911,,-22.081,-10.4421,,-170.505,-204.4208,,,-982.0657,-26.4516,,,,14.8148,48.0226,-253.3175,-62.2462,63.8677,22.8443,1.4796,-0.625
ACIU,19,0.006263597106949855,,-48.1335,-20.2273,,-251.9873,-302.2729,276.1372,,-74.4842,-27.003,,,,64.8895,44.6721,-133.4978,-51.9796,-24.1138,4.9399,1.759,-0.3037
WAVE,46,0.006209334736984165,0.5603,-5.431,-2.8988,-81.7585,-122.7853,-128.9875,1076.9231,46.4286,-360.0,-19.136,80.719,,,,,-660.1464,-87.2849,17.9012,20.9945,,4.9052
ADAML,124,0.006015727442663809,,,-3.8172,,,-138.1719,3451.5706,,,-3.8191,,,,,,-100.0492,-454.4175,1.7261,12.6594,,0.1631
MHD,70,0.0059705048995847415,,,-1.7284,,,-117.2843,,,,-1.3734,,,,16.3537,6.4907,-79.4587,-167.5748,5.535,5.535,0.6524,0.0522
TPVG,102,0.005931223038438377,,,-11.6773,,,-216.7731,,,,-9.199,,,,9.3865,-22.1631,-78.7769,-331.8539,17.5344,17.5344,1.2918,-0.1157
PRME,14,0.005773497545294715,,-38.742,-25.7919,,-328.8946,-357.9193,,,-1341.6938,-119.2819,,,,,,-462.4775,-86.2777,48.9642,57.9249,,-0.7168
WINA,105,0.005729192795238874,6.3001,4.2825,3.4571,-51.9205,-68.8174,-65.4287,2.1201,999999.0,999999.0,999999.0,96.4485,65.56,50.5587,-101.3274,-104.1597,999999.0,-106.0055,,,1.1766,-0.0527
OCGN,14,0.005682989479130275,,-20.6461,-14.2524,,-237.7122,-242.5241,142.6045,,-1343.5366,-124.4019,,,,79.403,80.1724,-872.8483,-93.646,,45.1697,1.3308,-0.5007
RWAY,55,0.005541904589018273,,,9.0168,,,-9.8325,35.0184,,,6.4841,,,63.4849,,,-71.912,-235.2488,5.031,5.031,,0.0054
EEX,123,0.005265637776101464,41.7834,5.4359,-0.5977,354.196,-85.4433,-105.9773,17.4593,230.8851,24.0301,999999.0,64.0543,8.3333,,-9.8074,49.5515,999999.0,-309.7201,25.0529,,1.2938,-0.3621
EQ,19,0.004887157424634994,,-40.3508,-13.2769,,-197.9893,-232.7689,128.9739,999999.0,999999.0,-45.2044,,,,69.8895,70.5803,-340.4747,-71.8601,,29.3313,1.0896,-0.7752
ROOT,118,0.004719815753219706,,,-13.0999,,,-230.9989,46.3964,999999.0,999999.0,-71.1648,,,,71.7072,,-543.2468,-231.31,,40.2021,2.4748,1.0163
DMLP,95,0.004610632558164074,10.8761,9.9069,7.6147,-12.4816,-19.931,-23.8533,-5.0508,90.4347,65.9007,49.1998,77.5556,70.6445,56.5156,-248.7331,-225.8472,-646.1177,-94.6452,-5.9405,-8.1851,0.9085,-0.0439
NRDS,45,0.004607325128287822,56.1797,0.3708,0.4696,316.0669,-87.7668,-95.3043,11.2266,206.2784,1.0893,1.3737,90.991,0.6006,0.8408,,,-292.5356,-86.2016,-3.362,-7.3749,,-0.3197
SLRC,54,0.004469861873991951,,,8.598,,,-14.0201,205.6437,,,6.1938,,,70.6128,-13.5225,-16.0096,-72.0377,-316.282,1.3096,1.3096,0.8991,0.2237
ATCH,55,0.0043744300705549355,72.6708,-12.1492,0.7968,251.2601,-102.9294,-92.0317,,450.4531,-60.2456,1.4172,73.8992,,1.5524,84.5041,,-177.8611,-61.3305,,94.9921,0.4209,-0.9939
APYX,79,0.00435597571201275,82.2849,-48.629,-33.2058,446.7171,-391.3076,-432.0581,17.6118,205.1595,-96.9967,-63.2405,64.4883,,,84.8361,66.8161,-190.45,-59.4172,40.3826,28.7646,1.9086,-0.1689
VLN,132,0.004148301699285947,49.3441,-25.2547,-6.2966,126.3682,-129.4913,-162.9665,-7.2248,236.0079,-96.6326,-9.5272,62.4898,,,,,-151.3062,-34.5798,-16.9518,1.8735,,-0.1245
MAIA,19,0.004146260538251628,,-61.0543,-39.6273,,-483.0246,-496.2735,,999999.0,999999.0,-3312.6617,,,,,,-8359.5342,-98.1377,,94.3874,,-0.3191
AKA,27,0.004098391454860273,168.6405,-8.3596,-72.821,2087.9574,-278.9405,-828.2098,-10.7039,136.3961,-5.409,-52.1956,54.9704,,,,,-71.6765,-160.4313,36.0777,39.8495,,0.4762
GOCO,137,0.004043107164960575,78.6615,-9.4269,-119.6414,3833.6976,-1270.5454,-1296.4138,33.2455,66.7992,-6.4043,-26.5725,80.4515,,,93.9199,,-22.2101,-613.6365,20.5899,23.1107,1.5032,0.1394
MGX,14,0.0040347617256613535,,-68.942,-12.5138,,-192.6552,-225.138,160.2093,999999.0,999999.0,999999.0,,,,,,999999.0,-156.4919,,,,-0.8704
TOI,80,0.003902482181465797,50.4195,-50.9087,-58.2248,313.9059,-524.911,-682.2478,28.4201,97.6671,-78.8917,-116.5861,18.3732,,,84.6842,,-200.2344,-104.0925,53.0764,53.7041,1.3126,-0.039
ATEC,79,0.003892144916690093,14.2932,-6.8321,-7.9605,16.5744,-178.6877,-179.6054,37.4487,83.8411,-32.0606,-191.423,64.3225,,,13.4702,-392.3358,-2404.6482,-113.5931,-50.9568,,1.8531,-0.2254
PIM,53,0.003797277295614638,,,1.5586,,,-84.4136,,,,1.32,,,65.6947,6.7505,-2.704,-84.6874,-207.7465,8.9299,8.9299,0.6814,0.1356
