Ticker,Industry,Score,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,HML_3,HML_5,PB,NCAV,IA_G,IE_G,Beta,Performance
DBD,94,0.0022714187232373913,39.9309,7.9341,2.2508,300.7422,-50.0589,-77.492,,59.2554,9.419,4.0333,24.5261,4.8732,1.0088,,,-179.1921,-145.7833,12.1982,13.0652,,0.2946
PAX,71,0.0022468746568301396,16.8511,8.636,3.996,38.8419,-34.493,-60.04,16.8235,47.5683,19.5026,14.013,82.8668,42.4684,17.6104,27.583,,-350.6761,-119.7861,-39.4132,5.833,1.0205,0.3061
VLN,132,0.002194361133288195,36.6883,-43.8468,-13.0171,80.5716,-187.6918,-230.1706,-31.252,292.1418,-279.3148,-20.4698,59.2423,,,58.6275,,-157.2539,-42.8017,47.3479,13.1561,1.0289,-0.128
TSM,132,0.0021816877242478022,1.2188,0.9919,0.8349,-89.2906,-91.0861,-91.6512,33.8881,57.7566,37.6048,26.2819,56.1224,45.676,38.8581,-74.9172,-287.8161,-3147.9693,-99.4662,-5.4665,-23.898,1.4454,0.7432
TRTX,124,0.0021392302076993644,,,9.6204,,,-3.7963,23.8531,,,5.3667,,,39.5457,2.0953,-306.9063,-55.7847,-521.1645,11.5577,0.9552,0.9912,0.1353
ATGE,102,0.0021384259945070364,24.4669,8.2976,6.2795,104.6228,-36.74,-37.2046,13.1854,56.913,15.4411,16.6579,57.1778,19.3912,13.4283,-241.2258,-323.6284,-265.2718,-121.9222,0.6588,-4.7103,0.9456,0.405
GAME,133,0.002126797444757118,37.7329,-79.7181,-264.445,486.1391,-1776.6807,-2744.4497,132.9061,73.6716,-124.5164,-370.258,15.8767,,,93.3974,97.7172,-140.0132,-270.4015,28.2044,34.6279,1.0602,0.4039
INR,95,0.002115807481488053,26.6806,18.5344,15.8707,230.9388,98.2728,58.7071,60.1571,17.626,9.7955,7.7579,52.094,36.1884,15.2222,,,-48.8817,-224.7131,-21.8648,-10.8595,,-0.3371
MRNO,65,0.0020782204505381693,2.1386,-6.1965,-19.1126,-140.7025,-253.889,-291.1258,154.6482,3.4465,-7.9886,-53.7057,72.7595,,,-0.3009,,-280.9966,-203.7027,-7.2359,33.5406,0.4423,-0.761
NNI,55,0.0020772375839353432,,,4.5425,,,-54.5754,20.3107,,,5.5429,,,15.6816,-33.8689,-158.6877,-122.0246,-360.2914,21.669,-3.094,0.9851,0.1671
FND,120,0.002069013544041597,21.8629,3.3987,2.3008,74.9792,-72.8841,-76.9916,0.949,88.4876,11.0049,9.3414,43.2754,6.7275,4.5497,-2.3572,-188.3696,-405.9976,-115.1977,-4.0823,-12.3858,1.4128,-0.1367
