Ticker,Industry,Score,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,HML_3,HML_5,PB,NCAV,IA_G,IE_G,Beta,Performance
NXE,103,0.007359683930173299,,-2.2566,-1.8925,,-120.6655,-118.9246,,,-10.0632,-10.7699,,,,-311.8279,-125.2941,-569.0965,-98.1785,-47.4792,1.2856,1.1849,1.2324
YPF,69,0.007352061833546835,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,,999999.0,999999.0,999999.0,,,,-151.8348,47.6996,999999.0,999999.0,,,1.0539,0.8133
ETHZ,19,0.007350104011969793,,-1606.6307,-470.5408,,-2139.5156,-4805.408,,,-250.6054,-279.7553,,,,99.1643,99.0872,-59.454,-90.7767,82.7155,71.1517,1.0062,-0.9386
BEAT,79,0.007350089473690756,,-89.3261,-57.0319,,-653.5879,-670.3186,,999999.0,999999.0,-436.7987,,,,,,-765.8853,-84.4958,,82.2968,,-0.0793
SGML,82,0.007342439915870553,999999.0,999999.0,999999.0,999999.0,999999.0,999999.0,,999999.0,999999.0,999999.0,,,,-3009.0907,,999999.0,999999.0,,,0.7763,-0.6156
OKLO,46,0.007341279680435149,,-0.8153,-0.6471,,-105.6924,-106.4708,,999999.0,999999.0,999999.0,,,,,,999999.0,-102.3086,,,,0.2414
DJT,34,0.007140701459259468,0.0739,-1.214,2.1045,-99.1142,-109.3872,-78.9554,,999999.0,999999.0,999999.0,96.2938,,2748.6651,,,999999.0,-100.4603,,,,2.6726
AEF,54,0.006760998564245434,,,-45.9107,,,-559.1072,,,,-34.4045,,,,-26.3014,11.4079,-74.9378,-128.176,33.6089,33.6089,0.8309,0.0232
MVO,95,0.006374708114454645,,26.33,20.8413,,109.47,108.4126,125.2243,,349.287,296.7072,,93.8445,75.0756,-520.568,-194.1888,-1423.6526,-98.9426,23.1859,12.9707,0.9631,0.0616
USAU,82,0.006248076000174497,,-21.3419,-11.7433,,-229.9044,-217.4334,,,-68.1516,-32.3013,,,,-15.7676,62.2973,-275.0606,-92.8335,21.8251,18.8114,0.9253,-0.2849
