Ticker,Industry,Score,IV0,GP_EV,PB,NCAV,GPOA,REV_G,IE_G,OMGN,Beta,Performance
MRNO,65,0.023373515204363437,-231.9216,2.1372,-281.312,-203.5865,3.4465,154.6482,33.5406,,0.4423,-0.738
AISP,33,0.02215017466805985,-106.9843,9.3598,999999.0,-143.6325,999999.0,90.0025,,,0.5703,0.1679
LUNR,66,0.02142089429286322,-232.6972,0.1687,-21309.8132,-106.482,999999.0,186.6086,,,0.8578,0.4473
ATAT,65,0.02102947553901941,-71.7099,3.7854,-2904.5725,-99.0725,999999.0,56.0328,-42.998,23.0149,,0.3089
NEOV,66,0.02100740741936649,-141.9519,2.0122,-2498.0388,-95.8984,29.5337,218.5862,36.6823,,0.9646,0.9437
ASPI,74,0.02091911402249001,-135.8773,0.4583,-726.7873,-93.1117,6.3755,857.0386,-171.7192,,,1.1008
CDZI,147,0.020800405875955524,-179.573,0.8797,-656.7755,-133.1136,3.143,382.5716,15.0274,,1.3014,0.8547
RCT,105,0.02019659242258577,-536.7921,19.2109,999999.0,-208.7795,755.7872,134.7564,,,,0.1083
AMPX,66,0.020165462226623646,-164.6937,-7.0744,-464.5594,-94.248,-132.2204,168.081,-16.1739,,,3.529
SRFM,143,0.019615373661260236,-1040.5435,1.1752,999999.0,-579.4182,999999.0,97.3804,,,,0.5371
ENGS,50,0.019574076595243087,-89.6899,4.6118,-1198.7191,-90.8604,999999.0,59.8763,,,,0.7894
RSI,133,0.019475246749248516,-54.2882,35.021,-518.9269,-88.0417,999999.0,33.7001,-19.3747,2.6306,1.448,0.4987
SOUN,33,0.019208533034325646,-114.7253,1.289,-1866.2994,-103.1771,999999.0,84.6249,-548.4415,,,1.0098
LWLG,40,0.018650297435962533,-188.4398,0.0922,-368.9026,-80.4277,1.5325,136.0501,8.2613,,1.6944,3.596
EU,103,0.017941745534249532,-276.8548,-3.1955,-74.2025,-93.2588,-2.6217,163.3827,-21.5967,,1.7397,1.4685
LEU,84,0.017119933920508222,5.3254,20.6264,-654.5043,-88.4983,999999.0,38.0387,-399.6904,10.9276,1.8221,5.13
SPOT,22,0.016840021729898364,-76.9841,5.0624,-1795.9022,-97.9672,999999.0,18.3136,-118.9853,8.7092,1.3028,0.1773
OS,33,0.016833365499081935,-136.8359,8.9506,-795.1201,-89.1051,999999.0,30.536,-360.8809,,,-0.1917
RBLX,33,0.016107612470630545,-111.6242,7.0653,-19677.5883,-107.8682,999999.0,28.6755,-204.0451,,1.4121,0.9479
GTLB,33,0.015990197037791025,-98.4274,9.6647,-964.551,-90.4104,999999.0,30.9262,-35.4414,,1.57,-0.0062
CPNG,27,0.015989294932060066,-72.724,24.4237,-987.4327,-104.4193,999999.0,12.4535,-0.3179,1.8269,1.0656,0.4131
GENK,127,0.015788487279935176,-44.4252,63.7394,999999.0,-749.6552,999999.0,15.1226,,0.2284,,-0.4384
ENVX,66,0.015253121526256208,-175.6142,-0.15,-582.9793,-98.1332,-1.3125,201.8577,4.481,,2.4507,0.5426
KOPN,132,0.014979869858819626,-147.5921,12.3988,-643.7424,-88.9827,999999.0,24.61,21.1032,,2.172,2.6563
IHG,65,0.014966228865620407,-47.3281,7.5089,999999.0,-130.3474,999999.0,6.4663,,21.1456,0.9754,0.1384
LI,9,0.014833846621422656,-46.8378,11.3824,-511.0349,-88.8997,999999.0,15.1656,-17.7385,5.0666,1.1208,-0.1969
BRZE,33,0.01475619642065768,-105.0882,12.5842,-794.8273,-93.2681,999999.0,25.7758,-6.8232,,1.5968,-0.2523
DIBS,27,0.014561716240399359,-120.2733,999999.0,-103.5456,-34.6371,999999.0,4.2192,26.0507,,0.9676,0.3554
VRSN,45,0.014528148714649611,-59.2217,5.393,999999.0,-111.1846,999999.0,4.3065,,67.9466,0.8779,-0.0685
PLTR,33,0.014484904735748743,-95.6111,1.1533,-4014.7486,-97.6448,999999.0,28.7861,-43.0625,10.8324,1.8375,1.2558
ARLO,37,0.014387749329436107,-102.6598,22.8643,-962.7725,-91.94,999999.0,4.0128,2.2919,,1.4105,0.9917
NSP,116,0.014319479626479862,56.0524,40.9629,-3354.8236,-109.4648,999999.0,1.4163,-3.1915,0.2674,1.1436,-0.5089
WK,33,0.01429384231627771,-108.7371,13.4018,999999.0,-107.9381,999999.0,17.2435,,,1.2326,0.1264
TEAM,33,0.014118896851708711,-97.7515,7.5867,-4376.8341,-101.0685,999999.0,20.2112,-30.2854,,1.446,-0.2759
DCBO,33,0.013989020003318678,-64.4692,21.0098,-1607.5817,-97.7073,999999.0,19.9581,-13.8799,8.7157,1.4652,-0.1655
QXO,120,0.013824320316749295,-30.6074,1.574,-119.2744,-16.2409,999999.0,4.3216,-67533.5029,,1.3539,0.2262
QSI,66,0.013697007557167044,-311.1381,999999.0,-95.2909,-8.1411,27.5056,182.6248,20.6904,,2.8528,0.6789
BYRN,66,0.013674691239837574,-73.15,14.6561,-709.5997,-90.6615,184.2855,101.0975,-28.4742,7.779,0.8418,0.1756
BKNG,143,0.013539836112331309,-45.8557,,999999.0,-106.947,999999.0,11.1116,,31.8253,1.1263,0.1127
WINA,105,0.013222529082738962,-63.7921,6.558,999999.0,-105.4861,999999.0,-2.5997,,66.8677,1.0164,0.2575
MTRX,50,0.012387700883153123,-79.3682,32.2643,-243.5719,-109.6141,999999.0,5.6402,13.0745,,1.1663,0.1938
TZOO,2,0.012080320074938556,24.5254,50.6256,-3613.6026,-111.7304,999999.0,-0.6807,50.9963,22.0472,1.4223,-0.3847
UIS,45,0.011824287206706327,493.3663,130.7299,999999.0,-431.7516,999999.0,-0.3473,,9.5101,1.3125,-0.2259
COUR,33,0.011176913296904498,-85.2165,104.817,-180.8559,-52.06,999999.0,9.266,3.0468,,1.5855,0.2422
UUUU,84,0.011018041602752679,-114.0451,3.5043,-140.8702,-79.1237,5.3845,105.9534,-40.2083,,1.5165,4.4403
