Ticker,Industry,Score,IV0,GP_EV,PB,NCAV,GPOA,REV_G,IE_G,OMGN,Beta,Performance
MSC,65,0.025253124494503794,-133.3981,3.0564,-936.2804,-131.5395,9.6262,3758.1399,16.7965,,0.8898,-0.5621
ENIC,46,0.025245085279374555,,999999.0,999999.0,999999.0,999999.0,,,,1.015,0.3076
WAVE,46,0.025128392811807728,-113.1473,0.5603,-660.1464,-87.2849,46.4286,1076.9231,20.9945,,,4.9052
EU,103,0.02422300389014983,-130.9085,0.3391,-291.8583,-105.016,1.0026,421.7432,-21.8162,,1.2138,-0.7257
MRNO,65,0.024068780579222064,-145.5028,0.8053,-235.3807,-159.8784,1.3996,4357.3306,6.728,,,-0.2063
EFXT,66,0.023917737231134162,,999999.0,999999.0,999999.0,999999.0,,,,1.2176,0.4039
ADAM,33,0.02374833751490303,,,-32.8509,-1179.3985,,3451.5706,12.6594,,1.1662,0.0321
MOB,3,0.023666859933998387,,999999.0,999999.0,999999.0,999999.0,,,,,0.4561
SRFM,143,0.02364614529478534,-1685.0439,-5.8861,999999.0,-416.0329,999999.0,198.4364,,,,-0.4761
LI,9,0.02355707234616924,-56.6279,7.9855,-723.795,-91.8163,999999.0,172.7372,-34.0566,6.1573,1.2692,-0.1778
ATLN,18,0.023244905702535693,-20763.4651,33.6507,999999.0,-10805.519,47.2687,34101403.9082,,,,1.0439
TOUR,143,0.023128896765508167,-46.3354,25.6513,-218.6164,-74.8171,871.248,374.0976,7.4187,3.8388,1.2749,0.3045
LOT,9,0.02310238601544289,-200.1351,1.9939,999999.0,-139.7064,999999.0,7004.8237,,,,-0.7749
CSTM,81,0.022820666922145467,,999999.0,999999.0,999999.0,999999.0,,,,1.4701,-0.5418
MVIS,66,0.021983463659084625,-237.6402,1.7574,-343.5179,-82.4332,20.3714,993.2229,-6.7561,,1.7777,-0.2781
GEVO,74,0.021749586085770857,-253.5006,999999.0,-29.7718,77.653,1.5922,1363.8298,7.9422,,1.8468,0.6377
KULR,47,0.02168988775739141,-240.2578,3.9509,999999.0,-109.7427,999999.0,146.0843,,,1.2675,0.8286
WULF,45,0.019293030963855654,-138.2786,5.7961,-289.807,-114.0237,14.3752,360.5135,-88.9439,,2.0739,0.279
ATAT,65,0.018443053034468748,-72.829,3.806,-2609.5394,-100.5062,999999.0,108.4353,-73.4949,20.4542,,0.5848
NUKK,116,0.014116121671353824,-106.9417,-0.1061,999999.0,-102.0441,999999.0,-1.0032,,,0.1597,0.973
