Ticker,Industry,Score,IV0,GP_EV,PB,NCAV,GPOA,REV_G,IE_G,OMGN,Beta,Performance
STNE,45,0.0,191.6187,50.9311,-123.4074,-89.1802,67.706,97.0153,4.9694,41.1918,1.5123,0.7023
OLPX,106,0.0,38.6126,16.6745,-355.4473,-113.8955,46.3506,17.6997,-48.9529,52.1783,,-0.5457
PAYX,42,0.0,-41.553,9.4634,-1097.6499,-98.0056,131.3318,7.758,-13.2244,41.4301,0.9691,0.0984
CABO,26,0.0,-49.062,16.6334,-220.6344,-225.1058,23.1719,4.9897,3.1333,33.228,0.9892,-0.3829
TKO,133,0.0,-54.5034,8.2903,-1250.3265,-137.6315,25.7997,10.4854,54.0102,47.7471,0.665,0.0323
WLFC,67,0.0,-328.4981,9.2666,-87.4124,-640.2915,9.0558,9.3727,-7.6627,33.4304,0.7741,-0.1081
SHOP,33,0.0,-100.0282,4.8325,-741.9549,-94.1747,67.1871,21.4262,25.9971,,1.6445,0.6295
BZFD,139,0.0,-355.0297,54.8506,-81.0488,-170.0377,48.5306,-15.1189,48.1025,,,-0.5814
QSR,127,0.0,-53.8243,7.9864,-444.5436,-185.9479,16.1809,13.3473,-10.7708,31.0992,0.7597,0.1955
TRP,92,0.0,-140.1971,5.3368,-141.629,-249.331,6.3151,-8.0526,-2.1559,41.1894,0.855,0.0975
FDS,34,0.0,-62.5397,6.5949,-1158.1622,-111.1631,40.0485,13.1036,-30.9986,31.4146,0.908,0.0687
GSL,75,0.0,411.4412,24.5345,-57.7374,-258.9329,18.8797,50.1742,-35.6378,52.2857,0.9423,0.1689
LXU,74,0.0,311.6236,31.0419,-152.7855,-144.2794,40.9872,62.1086,-12.027,34.1992,0.9721,-0.1549
ADEA,33,0.0,29.2813,,-296.1431,-172.7927,,12.1982,77.5137,36.8273,0.9134,0.2263
SB,75,0.0,317.189,30.5235,-50.1394,-180.235,19.575,4.9399,-13.6441,52.6054,0.9169,0.4049
ASR,3,0.0,-89.1741,1.004,-2955.5683,-100.2442,28.6784,34.7583,-7.091,56.6958,0.7911,0.1002
BLNK,67,0.0,-211.8074,3.5491,-170.6301,-99.5293,6.4642,195.5653,-22.0372,,1.0413,-0.6751
WGS,130,0.0,-1853.2436,-92.6453,-55.8943,-95.0165,-19.0024,10.8406,34.6295,,,-0.2254
YORW,147,0.0,-79.7039,6.2012,-290.1636,-148.1026,13.2492,8.9884,-35.7491,40.7826,0.6903,-0.1938
TGNA,22,0.0,130.6558,26.2459,-113.5555,-181.4117,28.2876,9.4698,-21.8098,30.613,0.6743,-0.1242
BWMX,27,0.0,168.4708,63.4081,-595.2672,-187.1445,117.008,14.3019,8.5755,17.8167,0.6837,0.8001
HMY,114,0.0,-107.7393,1.6708,-139.9193,-121.8251,2.3256,-4.2722,3.5144,,0.756,1.0695
PSNY,9,0.0,-174.1901,1.2009,999999.0,-124.2728,30.2762,82.1333,,,,-0.5989
WOW,26,0.0,-146.9266,23.1795,-159.7323,-207.0736,29.3674,-3.5143,-0.7533,5.1202,1.106,-0.6764
CDE,114,0.0,-129.1943,4.3945,-132.7123,-153.472,5.4212,-5.6665,-11.0906,0.1777,1.1029,0.0451
DOGZ,88,0.0,-91.252,6.8758,-177.2298,-92.659,12.8615,11.4106,-36.3216,1.4836,0.6837,-0.548
GOOGL,34,0.0,-31.3486,12.8095,-516.7785,-94.98,100.898,9.7808,-1.7919,26.4613,1.1509,0.49
DSX,75,0.0,258.4948,22.8423,-68.6251,-263.9445,18.9051,35.3725,-23.9405,47.6108,0.9592,-0.1975
WB,34,0.0,29.4951,49.4583,-105.9501,-75.0632,54.3655,-18.6414,8.0661,26.7187,1.0064,-0.4994
ASML,66,0.0,-66.4619,4.8033,-2563.6892,-101.8409,187.8793,13.7682,13.1136,30.7022,1.298,0.4336
ADBE,33,0.0,-61.4897,8.7696,-1267.1051,-101.844,127.7805,11.5363,5.0416,34.6359,1.1562,0.2954
HLT,65,0.0,-55.3562,5.9961,999999.0,-136.2795,41.8944,53.6575,,57.6225,0.9909,0.4989
MAR,65,0.0,-38.9553,7.6175,-8851.855,-141.1687,45.0173,56.0172,59.8303,63.8017,0.9781,0.5075
FET,97,0.0,-158.2202,56.6753,-46.8224,-95.0612,38.0157,29.3577,6.712,1.2937,0.8798,-0.2245
AXTA,108,0.0,-77.8854,14.4885,-445.6135,-140.7993,31.106,10.5928,2.5476,8.6609,1.0418,0.1027
CMRE,75,0.0,318.5593,21.3754,-49.064,-261.3543,15.3739,40.3483,-25.1775,47.9767,0.977,0.228
SCCO,82,0.0,-41.8925,7.8321,-671.7699,-107.1232,37.9741,-8.1049,0.742,44.1465,0.9779,0.4833
CIEN,139,0.0,-65.7575,20.2265,-287.322,-86.3361,59.2706,0.3308,10.1707,7.081,0.9997,-0.0746
ODFL,144,0.0,-42.2615,6.1099,-1014.5772,-100.429,64.1453,19.096,0.7307,29.4027,1.1015,0.2763
MTLS,33,0.0,-88.8772,36.1498,-185.2857,-91.743,79.9841,12.934,1.5694,,0.9411,-0.3783
VRRM,143,0.0,-68.1971,19.1424,-1090.7678,-146.1271,51.8995,34.6915,11.1146,22.2095,0.9647,0.4639
ODP,105,0.0,78.0468,112.1074,-147.5325,-148.2424,178.4333,0.2245,10.5007,3.595,0.8755,0.1576
SITM,132,0.0,-75.6401,7.253,-435.6757,-79.5928,126.7199,29.6136,-12.0132,5.6917,1.5485,-0.3659
OPAL,92,0.0,-761.1305,4.5909,-54.3805,-123.0843,16.5231,41.7802,-297.8843,0.7553,,-0.3013
DNOW,97,0.0,50.9352,49.5778,-145.8077,-53.9256,80.0633,30.8824,-18.5393,6.6011,0.9524,0.3462
ZIM,75,0.0,5746.9701,999999.0,-21.6115,-214.4095,228.3055,28.4076,-28.1857,48.5113,,-0.407
ODC,88,0.0,-64.5011,20.8516,-188.68,-94.179,37.468,14.2986,5.5787,3.0021,0.6824,0.767
DSP,34,0.0,-469.0977,126.3883,-23.9685,228.6912,135.8949,-12.0284,5.9475,,,1.3908
CENT,39,0.0,-25.6464,31.1035,-163.3465,-115.8954,42.3369,1.0565,-9.086,7.7888,0.7009,0.272
GT,11,0.0,71.2006,38.7227,-57.0556,-357.8992,31.7586,19.0354,-5.4398,5.0661,1.2115,0.2178
KFRC,116,0.0,3.2061,40.6615,-662.4147,-93.6949,241.2915,8.2816,3.295,6.8312,0.8365,0.1017
