Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,IV0,IV1,IV2,Beta,Performance
ATHE,19,0.0,-45925.2724,-99.7844,-0.7044,,-0.1373,-0.1046,,-100.9466,-101.0463,,,-163.2956,-48.0502,,,,0.0,,,,0.7044,-0.3417
WWR,82,0.0,-37.8465,-5.937,-0.8655,999999.0,999999.0,-16.5584,37.2716,-138.4664,-265.5836,,-0.2696,-14.3569,-6.2668,,,,0.0,,,,0.8655,-0.5586
RPT,124,0.0,-32.8162,-1135.6935,-0.8622,,,-8.7417,,,-187.4166,,,,-2.8687,,,,0.0,,,,0.8622,-0.3049
QNTM,19,0.0,-195.4068,-83.275,-0.8007,,-63.8218,-35.7948,,-439.6924,-457.9485,,,-158.5629,-69.9456,,,,0.0,,,,0.8007,-0.5677
NG,114,0.0,-6943.2362,-98.8801,-0.7224,-0.0003,-0.9463,-2.0566,-99.8969,-107.4563,-120.5664,,-0.0253,-56.6693,-142.7977,,,,0.0,,,,0.7224,-0.4823
LNN,66,-4.745675225101165e-05,-410.2214,-88.3231,-0.8724,12.3506,5.8686,4.3563,-1.1942,-53.0199,-56.4373,35.7788,50.7572,19.2946,17.8703,25.8423,12.2794,9.1203,2.1972,-62.9046,-52.4971,11.0291,0.8724,-0.2319
BBCP,50,-9.134439989319538e-05,-121.2708,-254.7296,-0.7179,21.7027,6.6472,8.0774,163.8448,-104.2035,-19.2258,27.0683,23.5595,5.7727,9.7955,40.7708,12.4874,6.8184,2.1972,-85.4765,58.2838,1673.931,0.7179,0.1441
LKFN,73,-0.00010036730866766356,-257.6756,-499.9967,-0.7027,,,6.8308,,,-31.6922,9.8475,,,17.6012,,,40.9118,2.1972,-41.6975,-3.1819,225.2273,0.7027,0.0458
ASX,132,-0.0006141885378022347,-293.2997,-109.7299,-1.0203,12.7991,7.7352,7.1189,2.7455,-43.7349,-28.8113,17.6975,31.376,15.1697,20.8796,20.1126,12.1551,9.7501,2.3979,-84.9114,-77.7563,-24.1639,1.0203,0.4618
RVMD,14,-0.0008173946740167473,-285.808,-72.2205,-1.0778,,-19.6652,-10.1771,,-172.5769,-201.7708,20.3811,,-513.4133,-29.0869,,,,2.0794,,,,1.0778,0.4275
HCAT,34,-0.0008654048056231304,-151.7392,-81.8805,-1.3151,26.221,-27.5633,-17.5756,86.4554,-252.4365,-275.7563,14.182,46.2386,-38.8845,-26.6691,48.2149,,,2.1972,-142.1388,-173.584,-8.3172,1.3151,-0.4036
PGNY,86,-0.0009081464233585433,-794.9834,-90.9128,-1.3014,5.9599,0.8314,0.6524,-49.0162,-87.4525,-93.4755,57.1874,89.1601,9.9499,5.1869,21.2635,2.9661,2.4847,2.1972,-68.738,-29.8649,306.8245,1.3014,0.1105
CSTL,78,-0.0009257531349338439,-151.1461,-58.5088,-1.2383,30.4722,-26.4429,-9.137,82.1425,-177.9896,-191.3695,45.6545,74.7411,-51.8866,-13.8101,76.6424,,,2.1972,-44.284,-25.5838,194.8849,1.2383,-0.0229
NVFY,62,-0.0009294084110295084,-64.604,-23.244,-1.2252,-255.3575,-532.3445,-319.7656,-1528.7399,-3109.5845,-3297.6561,1.5025,-144.4339,-240.8815,-206.5814,,,,2.0794,-176.8582,-177.4367,-93.3342,1.2252,-0.01
EYPT,18,-0.0009685840418563264,-103.9804,-10.5803,-1.0848,999999.0,999999.0,-81.6368,268.6486,-625.6566,-916.368,12.0875,999999.0,999999.0,-84.8863,79.8908,,,2.0794,-251.7857,-438.9547,180.5407,1.0848,5.898
HOG,89,-0.0009700349911462087,-180.3465,-169.4115,-1.0796,19.8956,8.4783,14.211,121.0388,-65.8204,42.1099,7.8485,25.4444,8.6743,25.629,37.0756,15.7994,12.9447,2.3026,-169.6284,-167.6987,-91.5777,1.0796,0.1579
LYV,133,-0.0009799126074657909,-2120.1202,-146.1982,-1.0442,24.5997,3.9165,2.4241,105.3375,-74.7263,-75.7593,166.1146,408.601,52.0419,51.3932,25.9791,4.1361,2.3525,2.3979,-66.1538,23.4034,875.5548,1.0442,0.4983
FLS,56,-0.000985158347206134,-228.2895,-108.7283,-1.0254,19.4383,3.4945,2.9107,66.9154,-86.852,-70.8931,2.0915,36.865,5.3019,6.6448,27.5038,4.9445,3.4162,2.3026,-36.6064,67.6501,1217.3757,1.0254,0.389
DGII,31,-0.0009864418792702606,-238.6612,-115.231,-1.0208,15.4491,2.2872,1.2451,27.5959,-95.5645,-87.5493,25.789,30.697,3.6356,2.9715,55.7115,8.2478,3.8386,2.1972,-77.7872,-40.9387,370.7395,1.0208,-0.0772
IIIN,138,-0.0009876696055924684,-124.0224,-46.9383,-1.0164,45.353,37.0671,26.7666,236.5531,176.8919,167.6659,39.9984,57.7896,37.7853,33.1966,23.8634,19.5036,15.6479,2.1972,-56.2062,-55.4659,-12.656,1.0164,0.4254
CHH,65,-0.0009973239989443765,-3863.7888,-126.72,-0.9818,9.8078,7.0321,5.8477,-25.7253,-52.2488,-41.5227,28.5001,53.1705,30.4982,225.9439,52.3517,37.5356,26.1324,2.3026,-51.3076,51.5119,854.4528,0.9818,0.0325
