Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,IV0,IV1,IV2,Beta,Performance
ETV,70,0.027807578453203873,-85.2106,-100.7772,-0.8417,,,18.345,,,83.4498,33.5274,,,15.6319,,,79.6966,2.1972,110.304,439.9756,2672.7254,0.8417,0.1052
ETO,71,0.027783953642815343,-85.8478,-126.7527,-0.8691,,,23.3264,,,133.2637,193.4105,,,20.0252,,,79.5893,2.1972,167.4513,711.2534,5326.0065,0.8691,0.1393
FSLR,132,0.025598512828564873,-174.2204,-92.9652,-1.2774,14.6111,10.961,8.0949,15.4514,-11.2638,-19.0513,26.7488,27.3441,16.4104,14.1029,44.1687,33.1346,26.7473,2.3026,-7.4407,95.9077,1008.5951,1.2774,0.7402
RYN,124,0.024400585223696807,-221.9041,-129.6222,-0.8785,9.7282,8.2008,7.3984,-26.805,-41.5759,-26.0163,19.4964,18.2615,12.3154,16.4173,37.8595,31.9153,23.8185,2.3026,-40.9945,41.162,692.5882,0.8785,-0.0707
TBLD,71,0.02307355617316316,-88.6283,-100.468,-0.7305,,,17.1229,,,71.2288,12.653,,,15.1757,,,77.5889,2.1972,86.6853,213.5678,720.2033,0.7305,0.1726
FLNC,66,0.022508672161350465,-103.599,-38.0035,-2.1985,98.6636,7.7006,5.0332,378.8518,-21.1024,-49.6679,21.6677,180.6434,11.2792,5.2144,12.6393,0.9865,1.1732,2.3026,-22.2314,36.7031,1228.0368,2.1985,1.6934
CAMT,48,0.020687209010561456,-497.9079,-89.8206,-1.8298,8.2509,4.247,3.8392,-31.6294,-61.4338,-61.6079,36.1027,58.4621,24.074,19.1158,48.9129,25.1772,24.4599,2.1972,-59.9651,-19.0887,348.7778,1.8298,0.829
BANC,73,0.019309303312800674,-67.2632,-1376.1531,-1.2433,,,5.7312,,,-42.6878,254.1459,,,3.855,,,13.6854,2.1972,-34.3031,53.3367,741.5716,1.2433,0.1804
CRGY,95,0.01830473738445491,-46.6504,-295.9572,-1.0543,38.795,6.7905,-6.6254,639.2109,-138.7925,-166.2541,23.0134,32.9759,4.6176,-3.0908,81.9571,14.3455,,2.3026,-146.6054,43.9415,2139.4725,1.0543,-0.2582
SHAK,127,0.01737178696039387,-776.8867,-121.755,-1.4591,15.165,1.3464,0.2971,21.0396,-88.0559,-97.0286,15.1788,136.779,9.7147,2.3085,45.8178,4.0678,0.9097,2.3026,-89.1272,-81.1329,-3.033,1.4591,-0.0935
INVA,19,0.016980747018443328,-163.8344,-104.8517,-0.6012,27.5733,14.2841,2.6414,124.4042,14.7243,-73.5857,15.5407,44.3067,18.3621,4.3276,89.7974,46.5185,8.3383,2.1972,14.723,105.6165,663.8582,0.6012,-0.0398
