Ticker,Industry,Score,PB,NCAV,BAB_1,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BIG,IV0,IV1,IV2,Beta,Performance
MLCI,71,0.03245580917510281,-210.5181,-975.179,-0.9598,999999.0,999999.0,-11.5522,343.1692,106.0111,-215.5215,325.9194,999999.0,999999.0,-24.3194,21.0387,5.9393,,2.1972,261.4083,958.4738,7531.5548,0.9598,-0.08
FSLR,132,0.03069581933952255,-267.092,-94.4566,-1.5696,7.9701,5.4289,3.992,-33.1104,-51.6845,-60.0804,26.6971,25.279,13.7753,10.6622,39.1936,26.6972,21.4859,2.3026,-21.8857,71.9372,775.1286,1.5696,-0.2234
XYF,55,0.030006255765572094,-125.1163,-179.3211,-0.9712,,,16.0595,,,60.5945,27.9357,,,20.093,,,61.6277,2.1972,178.2136,679.937,4056.8159,0.9712,3.5617
RYN,124,0.02994424737092518,-214.5397,-132.4097,-1.2888,5.3911,4.0238,3.4947,-73.8755,-88.0847,-65.0534,16.265,9.4428,5.6383,7.4974,27.8507,20.787,13.8981,2.3026,-38.3364,63.3412,932.5862,1.2888,-0.0342
STEL,73,0.028658740908814442,-79.1701,-857.863,-1.2246,,,10.7547,,,7.547,49.1442,,,8.5145,,,28.0731,2.1972,-1.2842,119.2902,1216.0097,1.2246,0.2127
CLCO,75,0.028261565397409694,-68.2481,-298.9708,,14.533,12.9721,25.7115,45.7559,10.6255,157.1145,123.1332,12.9783,9.2675,17.5476,62.2793,55.5902,39.165,2.1972,-35.774,421.7872,3580.8542,,-0.4751
NMIH,118,0.023204972959663932,-132.5762,-139.7311,-1.1222,,,12.9302,,,29.3019,10.4003,,,17.1424,,,57.0226,2.1972,68.6328,281.0561,1882.3181,1.1222,0.1714
CUK,75,0.022637156534094115,-256.453,-299.4996,-1.9549,10.7098,4.2699,-0.281,-37.1674,-170.8658,-102.8099,77.4427,14.0011,4.4658,-0.7206,22.7203,9.0585,,2.3979,-64.0952,218.6752,2393.1921,1.9549,0.292
FLNC,66,0.022249611004169962,-335.5533,-78.3308,,8.1692,-6.5264,-4.297,-32.0227,-140.6862,-142.9697,85.0469,54.0064,-34.5166,-14.4186,6.3551,,,2.3026,-73.5699,-47.2186,354.1488,,-0.6904
IAS,34,0.02056845835304083,-169.5009,-99.8949,,23.8788,1.1157,0.252,92.7408,-92.7858,-97.4799,16.1678,39.9625,1.4937,0.4272,79.056,3.6937,0.8189,2.1972,-66.1909,-28.9973,396.1157,,-0.171
INVA,19,0.019683492583025788,-138.8157,-123.488,-0.9238,22.5125,9.5729,16.5729,101.7051,-29.7333,65.7287,-6.3005,28.8703,9.8211,23.0057,86.2657,36.6823,50.0151,2.1972,30.6374,81.2911,312.9114,0.9238,0.2209
CAMT,48,0.018689509346324556,-762.9017,-93.4598,-1.8724,4.248,1.8822,1.9299,-63.1589,-81.2666,-80.7011,-1.7245,46.2879,16.4071,14.7232,46.8119,20.741,22.2288,2.1972,-70.3886,-40.2809,233.782,1.8724,-0.2562
PBYI,19,0.017007955995595115,-470.7441,-107.3918,-1.4752,67.7479,13.0302,7.2103,448.5135,4.3041,-27.8975,3.3355,302.5858,46.5578,33.9418,73.3989,14.1171,7.6979,2.1972,-4.4874,7.7497,105.6567,1.4752,-0.4299
DOUG,123,0.015908445466076573,-52.9459,-150.4264,,4900.2835,-1220.4735,-37.5683,1605.3567,-404.9611,-475.6827,-17.1049,218.1239,-43.4611,-19.8908,26.4882,,,2.1972,-159.7862,-128.3103,143.3481,,0.1915
CRSP,14,0.014917351908985908,-276.4647,-69.7289,-1.7298,6.8274,-6.3372,-2.3164,-30.6149,-101.6639,-123.1645,84762.3853,126.7774,-94.1407,-6.4042,64.7973,,,2.1972,-100.1063,-130.268,-64.4723,1.7298,-0.4742
