Ticker,Industry,Score,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BAB_1,HML_3,HML_5,UMD_3,UMD_12,IV0,IV1,IV2,Beta,Performance
CIM,124,0.008507518086777122,,,11.2918,,,12.9182,,,,3.9456,,,49.3069,-1.4914,51.4427,58.4784,-16.5449,-20.9874,,,,1.4914,0.0898
CXE,71,0.00818302874058335,,,1.8826,,,-81.1743,,,,1.5534,,,79.9661,-0.7623,19.4506,11.9046,2.8451,9.2542,,,,0.7623,0.0871
LSF,107,0.0071323769202055335,58.6588,-60.8526,-32.2821,258.1682,-410.2643,-422.821,5.4018,176.4063,-146.403,-60.5276,25.4034,,,-1.474,92.8856,,-17.7711,-25.5455,-233.5237,-268.8932,-17.9028,1.474,1.0821
UCL,139,0.00684636439973834,7.8287,0.9714,0.3595,-35.6616,-88.0115,-96.4054,19.752,999999.0,999999.0,12.5783,49.0383,6.0846,2.3595,-1.4895,86.2385,,-38.3333,-64.1646,-85.9974,-66.5433,69.4103,1.4895,-0.1733
ODYS,48,0.006466810100790046,0.8235,-17.2029,-9.5827,-73.224,-186.2684,-195.827,356.0902,66.4491,-1110.4961,-42.4328,16.7821,,,0.3248,16.1111,,1.6949,-40.0,-133.0405,-182.1365,-69.912,-0.3248,-0.155
SFIX,27,0.00630191330777982,948.2838,-213.7138,-31.1689,1510.6214,-365.1734,-411.6891,-16.0157,999999.0,999999.0,-51.5644,44.2656,,,-2.1431,94.9665,91.3739,-19.1436,-32.7044,-189.4251,-140.023,284.1789,2.1431,0.375
SER,19,0.006266726683826465,,-3.5087,4.4931,,-121.7407,-55.069,500.0,999999.0,999999.0,999999.0,,,140.5067,-1.331,82.3616,92.4771,0.271,-37.2881,-112.1623,-125.0642,-69.6904,1.331,-0.5166
HYPR,16,0.006210908377043533,999999.0,999999.0,-50.7467,62.3746,-544.1352,-607.4667,61.902,51.6168,-417.6649,-41.9323,43.12,,,-1.6068,90.2806,,-16.5414,-24.4898,-263.0768,-523.0717,42.6643,1.6068,-0.2423
GRAB,123,0.006171662663947752,10.4441,-4.6998,-2.9523,-10.7253,-89.7286,-129.5233,64.6197,41.8288,-15.0584,-5.7638,36.4561,,,-1.0797,73.1381,,0.9772,-3.125,-80.5337,-91.6138,-24.0432,1.0797,0.4361
DWSN,95,0.0057195995744089905,4.8311,-37.2086,-21.6435,-47.6215,-308.6764,-316.4349,87.577,7.9645,-49.0731,-31.1586,1.7523,,,-1.2749,31.2,40.8935,-15.3846,-16.9811,-221.7596,-315.9422,393.9684,1.2749,-0.1557
MIND,66,0.005641197308115517,40.5289,1.3145,2.7529,1277.5598,-509.8355,-72.4714,45.9699,92.0413,2.3882,0.841,43.7442,1.4188,0.5215,-1.7554,77.4312,86.9149,16.1228,6.1404,-514.2057,-420.521,1365.268,1.7554,0.1829
NVFY,62,0.005597414755243756,76.245,-117.2578,-98.2117,490.1089,-997.6542,-1082.1169,-13.0045,1519.6188,-1869.6275,-1126.9642,37.6421,,,-2.2553,82.3214,87.4947,-28.5088,-51.3433,-446.4981,-443.428,-58.0347,2.2553,-0.7811
AAPL,32,0.005589183478105858,6.3678,4.303,3.4905,-49.9895,-66.8217,-65.095,-2.8005,151.4591,81.8782,146.4114,44.1311,29.8214,23.7392,-1.1634,-39.6622,-261.575,-5.9353,23.7879,-71.4442,-66.4997,-43.7607,1.1634,0.3323
QBTS,45,0.005585419496019127,1.4471,-25.2186,-22.3215,-95.266,-325.1009,-323.2152,22.7939,999999.0,999999.0,999999.0,53.0594,,,-1.5761,81.5075,,82.2034,145.7143,-234.6588,-331.9064,-84.4283,1.5761,2.9891
AIRJ,66,0.005377401527284242,,-1.9563,-1.5625,,-115.5761,-115.6248,,999999.0,999999.0,999999.0,,,,,,,0.6542,5.4848,,,,,-0.5291
OXLCO,71,0.0053628004044382884,,,19.5584,,,95.5838,,,,16.0607,,,76.2529,,,,3.2511,9.4495,,,,,0.1046
ABEO,19,0.005306945470395415,1.2964,-32.9747,-21.8502,-66.035,-268.0324,-318.5015,147.5248,999999.0,999999.0,-292.3944,54.1429,,,-1.3939,83.914,95.9946,67.5966,222.7273,-198.7955,-297.6281,-59.6815,1.3939,-0.3743
SPRU,10,0.005258230458075464,7.678,-2.5704,-73.66,-311.2758,-972.8451,-836.6002,244.3089,6.0752,-1.6271,-23.2868,52.6503,,,-1.2678,94.1223,,13.0081,-40.0862,-912.6882,-993.0272,-547.6123,1.2678,-0.4286
LNZA,74,0.005249119529351598,0.0301,-0.1813,-0.1785,-99.5545,-101.2421,-101.7851,67.7182,999999.0,999999.0,-91.6885,28.1841,,,,,,-25.5605,-13.089,-100.6979,-101.387,-98.9496,,-0.906
EH,3,0.005235929555563901,0.4735,-1.8627,-1.4915,-94.9165,-113.3543,-114.9152,164.9683,999999.0,999999.0,-112.2496,64.1349,,,-1.6834,50.6104,,-38.5331,-4.7498,-108.2206,-115.6805,-92.8804,1.6834,0.1112
ESPR,19,0.005129606587955132,14.0569,-29.9278,-49.1704,19.0169,-518.2317,-591.7036,54.1358,999999.0,999999.0,999999.0,62.8079,,,-1.2367,89.9687,93.3671,77.0833,-59.9057,-379.586,-551.0417,118.3978,1.2367,-0.5174
