Ticker,Industry,Score,GP_EV,EBIT_EV,NI_MC,GP_IV,EBIT_IV,NI_IV,REV_G,GPOA,ROA,ROE,GMGN,OMGN,NMGN,BAB_1,HML_3,HML_5,UMD_3,UMD_12,IV0,IV1,IV2,Beta,Performance
INO,79,0.0,999999.0,999999.0,-107.0289,,-1017.5345,-1170.2889,478.2348,999999.0,999999.0,-99.8919,,,,-0.8746,89.0957,81.448,-34.3434,-57.377,-658.909,-1193.289,53.1281,0.8746,0.2612
VHI,74,0.0,59.3306,20.8698,28.7689,655.4378,117.1426,187.6891,-3.2181,37.3581,10.5127,10.401,22.0652,7.7615,6.1156,-0.9133,-66.8719,72.3326,9.3583,-1.6184,21.6209,26.4924,314.3924,0.9133,-0.041
LECO,66,0.0,12.2977,5.9928,5.041,-1.7915,-57.6279,-49.5895,16.2957,62.7587,24.4662,45.8649,34.0518,16.5937,12.6093,-0.8824,-168.476,-112.4168,16.491,36.2494,-59.0706,-16.3558,293.36,0.8824,0.4929
FNWB,12,0.0,,,12.3932,,,23.9315,8.4587,,,8.2602,,,16.3043,-0.6731,-26.9965,24.8818,-3.5087,-37.096,1.6983,39.778,285.6779,0.6731,0.3919
FE,46,0.0,18.4694,4.4847,5.5833,98.6424,-132.4515,-44.1665,10.9447,24.4765,4.7546,10.8165,66.7799,16.2153,9.7733,-0.6746,-13.772,-44.6498,-4.9386,-2.4759,-139.9634,-105.6245,105.0257,0.6746,0.0027
GPC,11,0.0,31.4351,6.5558,5.736,170.0556,-53.3847,-42.6399,17.0926,119.4496,19.929,33.0687,35.0295,7.3054,5.6937,-0.8172,-195.7481,-122.4943,-8.2183,41.0047,-54.9223,-2.5008,446.4774,0.8172,-0.0562
JACK,127,0.0,12.6244,7.1526,7.5671,1.9958,-85.7907,-24.329,28.366,44.0079,19.9468,999999.0,29.5156,16.7226,8.822,-0.9628,-190.8968,-14.4094,26.4776,5.1687,-83.8277,59.9268,1466.6428,0.9628,-0.2395
WSO,66,0.0,17.1053,6.8151,5.7194,37.6934,-46.5296,-42.8061,15.83,94.118,29.9988,29.5128,27.9103,11.12,9.1215,-0.9059,-121.7088,-111.4976,16.8257,14.3503,-48.0526,-3.2336,322.8644,0.9059,0.3799
QSR,127,0.0,7.9864,6.2189,5.7555,-61.9093,-86.1541,-42.4449,13.3473,16.1809,10.0797,25.5858,39.9385,31.0992,16.7871,-0.7597,-114.8582,-41.5492,-2.925,18.6849,-90.9733,-39.7662,272.7797,0.7597,0.1955
GTES,66,0.0,20.3574,6.4575,5.2545,98.3836,-75.6587,-47.4551,2.2968,23.4713,5.9562,5.9891,35.1865,11.1614,5.8027,-0.9724,-112.0611,17.5178,22.6057,-8.8518,-91.4037,-82.3579,13.1873,0.9724,0.2628
FBIZ,73,0.0,,,17.4974,,,74.9743,13.3804,,,16.0356,,,32.6908,-0.7448,-141.5631,-40.7618,-8.0758,11.8948,63.0794,166.0021,801.2886,0.7448,0.1723
VALN,14,0.0,3.5587,-10.9521,-9.4686,-60.5553,-158.8309,-194.686,3.7973,114.9351,-282.9708,-52.7086,10.2025,,,,,,-17.7027,-65.4097,-120.0506,-126.0296,-75.9505,,-0.2468
